Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,385.6588,D2_24,0.019
,,385.99768,A1_23,0.017
,,388.06376,B1_32,0.014
,,388.30512,D2_24,0.017
,,388.39096,A1_23,0.013
,,388.67488,B6_32,0.018
,,389.56424,D2_12,0.019
,,390.03368,A1_23,0.015
,,390.47056,C2_31,0.018
,,393.67512,B6_32,0.015
,,394.40776,A1_23,0.017
,,394.7572,A1_23,0.017
,,395.11456,B6_32,0.019
,,395.67464,A1_23,0.017
,,396.10776,D2_24,0.02
,,398.7112,D2_12,0.019
,,398.82216,D2_24,0.019
,,399.552,A1_23,0.016
,,400.43496,A1_23,0.013
,,400.92112,D2_24,0.019
,,403.74808,B6_32,0.02
,,403.8576,D2_12,0.026
,,404.13752,D2_12,0.031
,,404.43808,D2_12,0.024
,,404.64008,A1_23,0.015
,,404.77968,D2_12,0.024
,,405.014,D2_12,0.026
,,405.15256,D2_12,0.024
,,405.22104,D2_12,0.025
,,405.44904,D2_12,0.027
,,405.69192,B6_32,0.017
,,405.94488,D2_12,0.03
,,406.07432,D2_24,0.017
,,406.0804,D5_34,0.009
,,406.18912,D2_12,0.023
,,406.71168,D2_12,0.025
,,407.25432,D2_12,0.02
,,407.8672,A1_23,0.014
,,407.868,D2_12,0.035
,,407.95768,D2_12,0.023
,,409.74048,D2_12,0.043
,,409.784,C4_11,0.017
,,409.93288,D3_24,0.012
,,410.95712,B5_33,0.017
,,411.47176,D3_24,0.013
,,411.54824,A1_23,0.015
,,411.71144,B6_32,0.017
,,411.97008,D2_12,0.025
,,412.32656,B6_12,0.011
,,413.80584,D2_24,0.021
,,414.28992,B6_32,0.019
,,414.39928,B1_32,0.016
,,415.13184,B6_32,0.018
,,415.25008,A1_23,0.016
,,415.53472,D2_24,0.017
,,417.24224,D2_12,0.026
,,417.29832,D2_12,0.023
,,419.81888,D2_24,0.015
,,422.44168,A1_23,0.015
,,423.49904,A1_23,0.014
,,423.80472,A1_23,0.014
,,425.19072,B1_32,0.014
,,428.08168,B6_32,0.017
,,428.84592,D2_12,0.041
,,429.42592,D2_24,0.021
,,430.52096,D2_24,0.022
,,431.63408,D2_12,0.021
,,435.96968,B1_32,0.013
,,436.37776,B1_32,0.013
,,436.41112,A1_23,0.015
,,438.23656,D2_12,0.043
,,438.3592,D2_12,0.044
,,438.54512,D2_12,0.042
,,439.16448,D2_24,0.016
,,443.33768,A1_23,0.015
,,444.58088,D2_24,0.022
,,447.0088,A1_23,0.014
,,448.3376,D2_24,0.02
,,448.9628,A1_23,0.017
,,449.0864,A1_23,0.015
,,450.08016,A1_23,0.015
,,450.38928,B6_32,0.025
,,451.526,B2_44,0.012
,,453.07952,A1_23,0.015
,,453.23344,A1_23,0.015
,,454.32536,A1_23,0.017
,,456.422,A1_23,0.015
,,457.06592,A1_23,0.015
,,457.4668,A1_23,0.014
,,458.31048,A1_23,0.014
,,458.5028,A1_23,0.015
,,461.67336,B1_14,0.008
,,463.2124,D2_24,0.02
,,464.13112,B6_32,0.018
,,465.05792,A1_23,0.015
,,466.23296,A1_23,0.015
,,469.36408,A1_23,0.014
,,470.2492,B4_22,0.015
,,470.6896,C2_31,0.025
,,470.9028,A1_23,0.013
,,472.59696,B6_32,0.019
,,473.68136,A1_23,0.019
,,473.99552,B2_21,0.032
,,474.14744,D5_23,0.012
,,475.65208,A1_23,0.013
,,476.5668,B6_32,0.017
,,477.3248,A1_21,0.008
,,477.5472,A1_23,0.014
,,477.88376,A1_23,0.014
,,479.83464,A1_23,0.016
,,480.10544,B1_32,0.012
,,480.12672,A1_23,0.014
,,480.45,A1_23,0.015
,,482.53976,A1_23,0.017
,,482.8496,A1_23,0.015
,,483.38184,A1_23,0.017
,,483.70576,B6_32,0.019
,,485.19304,D3_33,0.02
,,485.21632,A1_23,0.018
,,485.72776,D2_12,0.042
,,487.61744,A1_23,0.015
,,488.3468,B1_32,0.013
