Investigator,Ghislaine,,Time (s),Electrode,Amplitude(mV)
,,,329.7528,B5_14,0.014
,,,329.75832,B6_43,0.028
,,,329.76704,D5_41,0.025
,,,329.77032,D3_14,0.018
,,,329.77072,D3_13,0.031
,,,329.77088,D5_32,0.017
,,,329.77104,D3_12,0.023
,,,329.77144,D3_11,0.016
,,,329.81192,D4_24,0.012
,,,329.8136,D4_12,0.024
,,,329.81408,D4_11,0.02
,,,329.81736,D4_11,0.015
,,,329.8212,D3_43,0.013
,,,329.8224,D3_31,0.021
,,,329.82288,D3_21,0.014
,,,329.82392,B1_23,0.073
,,,329.82464,B1_22,0.021
,,,329.83264,D5_43,0.049
,,,329.8468,D5_14,0.022
,,,329.85056,D3_11,0.022
,,,329.85992,D5_31,0.039
,,,329.87856,D3_14,0.022
,,,329.88016,D3_13,0.012
,,,329.88808,D5_43,0.045
,,,329.90608,B1_44,0.017
,,,329.91008,B1_32,0.017
,,,329.91128,B1_44,0.016
,,,329.91336,B1_31,0.019
,,,329.91576,B1_31,0.043
,,,329.91752,B1_13,0.02
,,,329.92288,D3_12,0.016
,,,329.9344,D5_43,0.042
,,,329.9348,B1_13,0.021
,,,329.94904,D5_12,0.035
,,,329.9628,D4_13,0.03
,,,329.96352,D4_31,0.029
,,,329.96416,D4_41,0.015
,,,329.96528,B1_33,0.016
,,,329.96832,D3_42,0.017
,,,329.9716,D3_11,0.013
,,,329.98384,D6_12,0.022
,,,329.9932,D5_43,0.046
,,,330.01264,B1_42,0.016
,,,330.02776,B1_32,0.014
,,,330.05712,B5_44,0.017
,,,330.07072,D3_14,0.013
,,,330.09488,B1_23,0.016
,,,330.10344,B1_24,0.016
,,,330.12088,D3_14,0.02
,,,330.1372,D3_31,0.025
,,,330.13792,D3_21,0.014
,,,330.1468,B1_23,0.059
,,,330.18192,D3_34,0.026
,,,330.18216,D3_44,0.043
,,,330.22088,D4_12,0.027
,,,330.22136,D4_11,0.02
,,,330.23584,D5_14,0.025
,,,330.27224,D3_14,0.017
,,,330.27256,D3_13,0.032
,,,330.27288,D3_12,0.025
,,,330.27928,D3_41,0.025
,,,330.32632,D5_33,0.019
,,,330.3272,D5_44,0.019
,,,330.32784,B1_42,0.014
,,,330.3376,B4_43,0.015
,,,330.3396,D3_23,0.027
,,,330.3572,B1_23,0.018
,,,330.358,B1_22,0.022
,,,330.3652,B1_34,0.016
,,,330.37344,D5_41,0.017
,,,330.3824,B1_33,0.019
,,,330.38504,D5_31,0.022
,,,330.38512,D5_21,0.083
,,,330.39504,D6_12,0.024
,,,330.40248,B3_14,0.013
,,,330.4244,D5_13,0.014
,,,330.42784,D3_43,0.014
,,,330.44048,D3_14,0.019
,,,330.45216,D3_12,0.017
,,,330.45656,B1_44,0.021
,,,330.46368,D6_12,0.019
,,,330.49064,D4_23,0.046
,,,330.49088,D4_32,0.052
,,,330.49168,D4_42,0.028
,,,330.50832,B3_11,0.022
,,,330.51176,B3_22,0.015
,,,330.51376,B3_31,0.016
,,,330.51424,B3_22,0.013
,,,330.5148,B3_11,0.013
,,,330.51648,B3_31,0.017
,,,330.5184,B3_12,0.018
,,,330.51904,B3_24,0.02
,,,330.51912,B3_34,0.042
,,,330.51928,B3_22,0.027
,,,330.52024,B3_11,0.016
,,,330.52312,B3_11,0.018
,,,330.52376,B3_22,0.017
,,,330.52448,B3_24,0.019
,,,330.5248,B3_34,0.022
,,,330.52552,B3_43,0.014
,,,330.5256,B3_31,0.021
,,,330.526,B3_13,0.014
,,,330.52712,B3_22,0.031
,,,330.53112,B3_22,0.016
,,,330.53224,B3_24,0.013
,,,330.53232,B3_12,0.018
,,,330.53392,B3_21,0.017
,,,330.53496,B3_34,0.021
,,,330.53512,B3_22,0.028
,,,330.53592,B3_12,0.021
,,,330.53592,B3_31,0.024
,,,330.53616,B3_11,0.031
,,,330.53624,B3_13,0.016
,,,330.53848,B3_12,0.013
,,,330.53864,B3_13,0.015
,,,330.54352,B3_13,0.015
,,,330.54368,B3_34,0.018
,,,330.54392,B3_22,0.027
,,,330.54552,B3_12,0.012
,,,330.54664,B3_34,0.018
,,,330.54736,B3_44,0.015
,,,330.54848,B4_23,0.036
,,,330.5488,B4_14,0.016
,,,330.54952,B3_31,0.015
,,,330.55304,B3_44,0.013
,,,330.5548,B3_21,0.034
,,,330.55528,B3_22,0.02
,,,330.55544,B3_11,0.021
,,,330.55968,B3_22,0.016
,,,330.56016,B3_31,0.022
,,,330.56208,B3_24,0.02
,,,330.5624,B3_34,0.022
,,,330.56264,B3_21,0.017
,,,330.56312,B4_24,0.026
,,,330.56984,B3_12,0.027
,,,330.57024,B3_22,0.022
,,,330.57352,B1_23,0.062
,,,330.5748,B5_14,0.013
,,,330.57488,D2_43,0.03
,,,330.57496,B3_11,0.02
,,,330.57936,B3_14,0.016
,,,330.5848,D4_12,0.025
,,,330.58528,D4_11,0.022
,,,330.5884,D3_32,0.051
,,,330.58848,D3_42,0.023
,,,330.59016,B1_31,0.016
,,,330.6244,D3_14,0.02
,,,330.62472,D3_13,0.031
,,,330.62504,D3_12,0.023
,,,330.65376,D3_42,0.019
,,,330.65392,D3_31,0.049
,,,330.66424,D3_33,0.01
,,,330.67888,B4_43,0.015
,,,330.69608,B4_22,0.018
,,,330.69648,B4_43,0.026
,,,330.69928,B4_33,0.043
,,,330.69984,B4_22,0.016
,,,330.69984,B4_32,0.066
,,,330.69992,B4_42,0.024
,,,330.7028,B3_24,0.012
,,,330.71144,B4_22,0.029
,,,330.71256,D6_24,0.028
,,,330.71408,D5_41,0.009
,,,330.72112,D3_23,0.011
,,,330.72192,D3_14,0.019
,,,330.7424,D4_34,0.07
,,,330.75192,B1_42,0.016
,,,330.75912,D2_43,0.027
,,,330.76264,D5_11,0.039
,,,330.7628,D4_34,0.046
,,,330.76296,D5_21,0.026
,,,330.78296,D4_34,0.04
,,,330.79008,D5_13,0.021
,,,330.80096,D4_34,0.012
,,,330.808,B2_42,0.015
,,,330.81336,B1_32,0.012
,,,330.81824,D5_12,0.037
,,,330.81896,D4_34,0.013
,,,330.83856,D3_42,0.013
,,,330.84528,D4_23,0.014
,,,330.85848,B2_42,0.018
,,,330.8692,D4_14,0.015
,,,330.87528,B3_34,0.012
,,,330.88824,D6_24,0.027
,,,330.89104,B3_11,0.017
,,,330.9024,D3_41,0.023
,,,330.94032,D3_32,0.05
,,,330.94032,D3_42,0.019
,,,330.94144,B5_23,0.029
,,,330.954,D2_43,0.025
,,,330.96608,B1_23,0.06
,,,330.97168,B3_42,0.013
,,,330.9772,D5_41,0.009
,,,330.98032,D5_13,0.124
,,,330.9924,B1_23,0.018
,,,330.9932,B1_22,0.02
,,,331.00784,D4_12,0.023
,,,331.02176,B5_44,0.017
,,,331.02728,D5_44,0.017
,,,331.03464,D5_41,0.01
,,,331.03584,D3_14,0.03
,,,331.036,D3_23,0.013
,,,331.04208,B1_42,0.015
,,,331.04696,D6_24,0.027
,,,331.04792,D3_44,0.018
,,,331.04824,D3_34,0.015
,,,331.06928,B2_42,0.016
,,,331.07696,D3_12,0.018
,,,331.10248,B4_13,0.015
,,,331.1136,B6_42,0.02
,,,331.1216,B3_42,0.014
,,,331.14488,B1_44,0.019
,,,331.1536,B1_34,0.014
,,,331.15456,B5_11,0.012
,,,331.16152,D2_43,0.031
,,,331.1624,B5_44,0.018
,,,331.17,D5_21,0.022
,,,331.17424,D5_31,0.017
,,,331.1744,D3_23,0.011
,,,331.17488,D3_14,0.026
,,,331.18384,D5_11,0.04
,,,331.18424,D5_21,0.031
,,,331.18872,D6_24,0.026
,,,331.19216,B5_14,0.015
,,,331.19904,D5_13,0.026
,,,331.20024,D5_23,0.019
,,,331.22496,B5_11,0.019
,,,331.22784,D3_32,0.052
,,,331.22784,D3_42,0.021
,,,331.26032,B1_23,0.06
,,,331.27896,B1_42,0.016
,,,331.3104,D5_22,0.033
,,,331.31528,D5_44,0.025
,,,331.3156,D3_34,0.018
,,,331.31568,D5_43,0.013
,,,331.33096,D5_14,0.017
,,,331.33888,D5_12,0.03
,,,331.33936,D6_24,0.029
,,,331.34008,B3_34,0.014
,,,331.36248,D3_23,0.011
,,,331.36328,D3_14,0.018
,,,331.40168,B6_43,0.031
,,,331.40872,D3_43,0.013
,,,331.41656,D3_42,0.015
,,,331.42384,D2_31,0.018
,,,331.42528,B1_31,0.014
,,,331.44376,B5_11,0.013
,,,331.45984,B1_32,0.013
,,,331.47,D3_44,0.013
,,,331.48208,B1_42,0.015
,,,331.49984,D3_42,0.025
,,,331.50008,D3_31,0.05
,,,331.5232,B2_11,0.024
,,,331.5288,B3_11,0.028
,,,331.53088,B1_23,0.054
,,,331.53272,B3_11,0.021
,,,331.53432,B1_23,0.017
,,,331.53528,B3_31,0.019
,,,331.536,B3_22,0.027
,,,331.53768,B3_12,0.022
,,,331.53832,B3_24,0.012
,,,331.5388,B3_22,0.013
,,,331.54,B3_12,0.015
,,,331.54072,B3_11,0.015
,,,331.5412,B3_22,0.019
,,,331.54136,B3_34,0.02
,,,331.54208,B3_43,0.012
,,,331.54472,B3_14,0.012
,,,331.54592,B3_12,0.015
,,,331.546,B3_22,0.013
,,,331.54656,B3_44,0.016
,,,331.54752,B3_13,0.015
,,,331.54976,B3_12,0.016
,,,331.55,B3_22,0.026
,,,331.55176,B3_34,0.015
,,,331.55256,B3_22,0.012
,,,331.5528,B3_12,0.013
,,,331.5532,B3_11,0.015
,,,331.55416,D6_24,0.027
,,,331.55464,B3_34,0.013
,,,331.5552,B3_13,0.015
,,,331.55536,B3_21,0.017
,,,331.55576,B5_44,0.016
,,,331.55704,B3_31,0.019
,,,331.5628,B3_34,0.017
,,,331.5648,B3_12,0.013
,,,331.5656,B3_23,0.013
,,,331.56584,B3_22,0.013
,,,331.56624,B3_21,0.016
,,,331.56656,B3_11,0.021
,,,331.57128,B3_21,0.016
,,,331.5748,B3_31,0.017
,,,331.57912,B3_22,0.017
,,,331.57928,B3_21,0.013
,,,331.5796,B3_11,0.018
,,,331.584,B3_11,0.025
,,,331.58408,B3_31,0.016
,,,331.59184,B3_12,0.027
,,,331.59248,B3_22,0.025
,,,331.59416,B3_11,0.018
,,,331.59512,B3_22,0.014
,,,331.59672,B3_34,0.016
,,,331.59784,B3_13,0.012
,,,331.59848,B3_21,0.016
,,,331.60352,B3_21,0.014
,,,331.60352,B3_24,0.016
,,,331.60376,B3_34,0.023
,,,331.60632,D3_33,0.009
,,,331.60928,B3_13,0.017
,,,331.6096,B3_14,0.013
,,,331.60984,B3_22,0.017
,,,331.61312,B3_31,0.016
,,,331.61336,B3_11,0.02
,,,331.61904,D2_43,0.023
,,,331.62088,D3_34,0.029
,,,331.6212,D3_44,0.038
,,,331.62352,B1_34,0.062
,,,331.63408,B3_14,0.012
,,,331.6388,D3_42,0.014
,,,331.6404,B3_14,0.013
,,,331.64928,D6_24,0.027
,,,331.66408,D3_32,0.012
,,,331.66432,D3_43,0.023
,,,331.6644,D3_44,0.032
,,,331.6656,D3_14,0.032
,,,331.67744,B1_24,0.015
,,,331.68768,B1_23,0.016
,,,331.6884,B1_22,0.018
,,,331.71944,D5_33,0.017
,,,331.72032,D5_44,0.019
,,,331.72944,D3_14,0.017
,,,331.73112,B4_43,0.014
,,,331.73128,D5_44,0.017
,,,331.73176,B5_44,0.012
,,,331.74336,B3_24,0.014
,,,331.74368,B3_34,0.02
,,,331.76424,D4_23,0.014
,,,331.76984,D6_24,0.022
,,,331.77848,B1_31,0.014
,,,331.7828,B1_42,0.018
,,,331.78568,D5_11,0.038
,,,331.78584,D5_21,0.031
,,,331.79224,D3_34,0.019
,,,331.79264,D3_44,0.015
,,,331.79536,D5_31,0.019
,,,331.79544,D5_21,0.084
,,,331.79752,D4_12,0.017
,,,331.80176,D4_13,0.019
,,,331.80664,B3_13,0.018
,,,331.80704,B3_34,0.024
,,,331.8076,B3_44,0.015
,,,331.81024,B3_43,0.011
,,,331.8148,B1_32,0.011
,,,331.81568,B3_21,0.02
,,,331.81616,B3_44,0.016
,,,331.82064,B1_24,0.017
,,,331.8428,D5_33,0.009
,,,331.85352,B1_43,0.013
,,,331.85376,D3_11,0.023
,,,331.85416,D3_21,0.045
,,,331.86,B3_34,0.013
,,,331.86096,D3_32,0.014
,,,331.86576,D3_11,0.029
,,,331.86616,D3_21,0.045
,,,331.8724,D5_44,0.023
,,,331.88096,B3_22,0.03
,,,331.88208,D5_12,0.015
,,,331.88408,D6_24,0.028
,,,331.88648,D3_31,0.018
,,,331.90176,D3_41,0.01
,,,331.906,B1_24,0.014
,,,331.90864,D5_12,0.017
,,,331.93872,D3_12,0.02
,,,331.93928,B3_21,0.013
,,,331.9396,B3_11,0.014
,,,331.94456,D3_11,0.025
,,,331.9448,D3_42,0.084
,,,331.94488,D3_41,0.011
,,,331.94496,D3_21,0.049
,,,331.94512,D3_31,0.012
,,,331.94544,D3_22,0.021
,,,331.95136,D3_14,0.02
,,,331.95184,D3_32,0.012
,,,331.95264,D3_13,0.018
,,,331.95568,D3_42,0.022
,,,331.958,D3_31,0.016
,,,331.96744,D5_12,0.033
,,,331.9752,D6_24,0.021
,,,332.00288,D5_12,0.018
,,,332.00368,D4_34,0.044
,,,332.0072,D4_34,0.027
,,,332.02928,D4_34,0.018
,,,332.03296,D4_12,0.025
,,,332.03344,D4_11,0.019
,,,332.03664,D3_11,0.022
,,,332.03704,D3_21,0.045
,,,332.038,B4_34,0.014
,,,332.04408,D3_32,0.016
,,,332.04592,D4_14,0.012
,,,332.05824,D3_23,0.013
,,,332.05864,D3_24,0.011
,,,332.05896,D3_14,0.02
,,,332.072,D6_24,0.022
,,,332.0808,B1_23,0.061
,,,332.10384,D3_12,0.019
,,,332.1112,B1_42,0.016
,,,332.11336,B3_24,0.016
,,,332.11368,B3_34,0.022
,,,332.11424,D5_12,0.025
,,,332.13176,B1_32,0.013
,,,332.14152,D3_42,0.026
,,,332.14168,D3_31,0.049
,,,332.15408,D4_14,0.016
,,,332.15496,D3_34,0.014
,,,332.16808,D3_43,0.012
,,,332.18008,B3_34,0.017
,,,332.18104,D3_34,0.02
,,,332.18184,D6_24,0.019
,,,332.18368,D3_43,0.018
,,,332.19088,B4_44,0.026
,,,332.1932,B4_43,0.021
,,,332.20592,B4_12,0.05
,,,332.22744,D4_34,0.013
,,,332.24632,D3_34,0.019
,,,332.248,D3_42,0.055
,,,332.2488,D3_43,0.025
,,,332.24896,D3_44,0.017
,,,332.2504,D3_41,0.02
,,,332.25424,D5_44,0.02
,,,332.2572,B5_44,0.015
,,,332.26104,D5_12,0.023
,,,332.2736,D3_31,0.042
,,,332.27424,D3_21,0.016
,,,332.314,B4_44,0.014
,,,332.31808,D3_42,0.083
,,,332.31832,D3_31,0.017
,,,332.31864,D3_22,0.024
,,,332.32056,D5_12,0.03
,,,332.33256,B5_42,0.009
,,,332.3476,B4_22,0.019
,,,332.348,D6_24,0.028
,,,332.34848,D3_14,0.016
,,,332.35184,B4_12,0.038
,,,332.36512,D2_43,0.03
,,,332.37776,D4_34,0.032
,,,332.37856,B1_23,0.018
,,,332.37936,B1_22,0.021
,,,332.3836,D3_41,0.022
,,,332.38416,B1_23,0.056
,,,332.38944,D5_13,0.022
,,,332.39232,D3_42,0.025
,,,332.41512,D6_24,0.024
,,,332.4172,B2_11,0.028
,,,332.426,D4_12,0.024
,,,332.42648,D4_11,0.016
,,,332.44344,B4_22,0.012
,,,332.4488,D3_34,0.013
,,,332.44888,D4_34,0.017
,,,332.48776,B1_13,0.022
,,,332.49088,B1_42,0.016
,,,332.50744,B2_44,0.014
,,,332.50744,D6_24,0.024
,,,332.50928,D5_12,0.045
,,,332.51056,D5_41,0.011
,,,332.51376,B4_43,0.015
,,,332.51912,B1_32,0.011
,,,332.5272,D3_44,0.013
,,,332.52992,D3_14,0.016
,,,332.53024,D3_13,0.028
,,,332.53064,D3_12,0.02
,,,332.53264,B2_42,0.016
,,,332.5328,D5_12,0.025
,,,332.55384,B1_31,0.014
,,,332.57152,B1_32,0.014
,,,332.57784,B5_24,0.016
,,,332.5904,D3_11,0.028
,,,332.5908,D3_21,0.046
,,,332.59776,D3_32,0.017
,,,332.60824,D3_41,0.025
,,,332.60968,D3_11,0.025
,,,332.61008,D3_21,0.044
,,,332.61296,B3_13,0.016
,,,332.61712,D3_32,0.016
,,,332.62216,D3_31,0.017
,,,332.63488,D5_44,0.016
,,,332.63904,D5_12,0.026
,,,332.64464,D6_24,0.028
,,,332.6596,B1_23,0.052
,,,332.66912,D5_12,0.017
,,,332.67456,D3_11,0.026
,,,332.67488,D3_21,0.049
,,,332.67776,D3_23,0.013
,,,332.67848,D3_14,0.019
,,,332.68184,B2_11,0.022
,,,332.68192,D3_32,0.014
,,,332.706,D4_34,0.017
,,,332.7132,D3_11,0.025
,,,332.7136,D3_21,0.044
,,,332.72064,D3_32,0.013
,,,332.7368,D5_43,0.014
,,,332.7404,D3_11,0.023
,,,332.7408,D3_21,0.043
,,,332.74384,D6_24,0.021
,,,332.74792,D3_32,0.014
,,,332.75152,D3_34,0.011
,,,332.7552,D3_41,0.012
,,,332.75544,D3_31,0.017
,,,332.76008,B1_44,0.019
,,,332.77464,D3_11,0.024
,,,332.77504,D3_21,0.046
,,,332.78016,D5_21,0.022
,,,332.78032,D5_11,0.031
,,,332.782,D3_32,0.015
,,,332.8068,B1_42,0.023
,,,332.80792,D3_11,0.023
,,,332.80832,D3_21,0.044
,,,332.80904,D6_24,0.021
,,,332.8124,B6_31,0.017
,,,332.81616,D3_32,0.015
,,,332.82064,B3_22,0.029
,,,332.8508,B4_44,0.017
,,,332.85152,B4_43,0.016
,,,332.854,D3_42,0.023
,,,332.85416,D3_31,0.052
,,,332.86904,D3_34,0.019
,,,332.86944,D3_44,0.013
,,,332.89,D3_12,0.018
,,,332.89968,B1_32,0.012
,,,332.92256,D6_24,0.024
,,,332.96568,D4_14,0.014
,,,332.97984,D3_42,0.016
,,,332.99128,B1_44,0.021
,,,332.99144,D3_11,0.02
,,,332.99968,D3_14,0.02
,,,333.00168,D3_43,0.018
,,,333.00352,D6_42,0.023
,,,333.00592,B1_24,0.016
,,,333.0196,D5_31,0.022
,,,333.01976,D5_21,0.081
,,,333.052,B4_44,0.015
,,,333.05264,B4_43,0.016
,,,333.05272,B1_23,0.014
,,,333.05504,D6_24,0.021
,,,333.05656,D4_14,0.014
,,,333.07184,D5_44,0.018
,,,333.07792,B4_13,0.04
,,,333.08456,D3_42,0.082
,,,333.0848,D3_31,0.016
,,,333.0852,D3_22,0.026
,,,333.09968,D5_33,0.019
,,,333.10048,D5_44,0.019
,,,333.11392,D3_24,0.01
,,,333.11408,D3_23,0.023
,,,333.11672,D3_43,0.015
,,,333.1272,B5_14,0.014
,,,333.13176,D6_24,0.02
,,,333.14608,B1_23,0.057
,,,333.14808,D3_42,0.024
,,,333.15296,D3_23,0.011
,,,333.1592,B4_13,0.027
,,,333.16968,D5_31,0.019
,,,333.16984,D5_21,0.084
,,,333.1932,B1_24,0.014
,,,333.19384,B1_23,0.021
,,,333.19464,B1_22,0.02
,,,333.20008,D3_42,0.015
,,,333.21576,B1_42,0.018
,,,333.21664,D3_23,0.016
,,,333.22088,B4_13,0.026
,,,333.22488,D3_11,0.025
,,,333.2252,D3_21,0.047
,,,333.23232,D3_32,0.014
,,,333.26696,D3_11,0.023
,,,333.26736,D3_21,0.046
,,,333.27088,D3_41,0.025
,,,333.27224,B4_13,0.019
,,,333.28832,B5_43,0.019
,,,333.30752,D5_13,0.018
,,,333.30832,D5_44,0.016
,,,333.32088,B5_21,0.016
,,,333.3284,B5_32,0.016
,,,333.32856,B5_21,0.015
,,,333.32928,B5_33,0.015
,,,333.32944,B5_44,0.014
,,,333.33,B5_24,0.017
,,,333.33008,B5_43,0.012
,,,333.33536,B5_21,0.014
,,,333.33856,D3_11,0.027
,,,333.33896,D3_21,0.044
,,,333.33952,B5_31,0.013
,,,333.3396,B5_21,0.018
,,,333.33992,B5_24,0.019
,,,333.34368,B5_22,0.015
,,,333.34496,D3_12,0.012
,,,333.3464,B5_44,0.013
,,,333.34648,D3_32,0.014
,,,333.3508,D3_23,0.013
,,,333.35104,D3_41,0.012
,,,333.3516,D3_14,0.015
,,,333.36136,D4_14,0.012
,,,333.37632,D5_11,0.035
,,,333.37664,D5_21,0.029
,,,333.38392,B5_24,0.014
,,,333.392,B5_21,0.02
,,,333.39624,D2_43,0.025
,,,333.39664,B6_43,0.026
,,,333.39816,B5_21,0.019
,,,333.3992,B5_44,0.019
,,,333.4,B5_33,0.012
,,,333.4012,B5_32,0.014
,,,333.40696,D3_42,0.085
,,,333.40736,D3_31,0.017
,,,333.40768,D3_22,0.024
,,,333.4168,D3_42,0.026
,,,333.42168,D5_41,0.025
,,,333.42288,B5_33,0.059
,,,333.42384,B5_11,0.018
,,,333.42504,B5_44,0.015
,,,333.42536,D5_32,0.019
,,,333.42736,B5_11,0.02
,,,333.43024,B5_22,0.023
,,,333.4356,D5_24,0.014
,,,333.43712,D6_42,0.018
,,,333.43776,B5_33,0.015
,,,333.44016,B5_11,0.014
,,,333.44056,D3_11,0.024
,,,333.44096,D3_21,0.042
,,,333.44488,B5_14,0.014
,,,333.448,D3_32,0.016
,,,333.4504,B5_21,0.02
,,,333.45192,B5_33,0.016
,,,333.45288,B5_41,0.013
,,,333.45344,B5_11,0.016
,,,333.45984,B5_21,0.018
,,,333.4644,B5_14,0.013
,,,333.46664,D3_42,0.019
,,,333.4668,D3_31,0.047
,,,333.47032,B5_24,0.018
,,,333.4708,B5_14,0.031
,,,333.47304,B5_24,0.014
,,,333.47728,B5_33,0.061
,,,333.47808,B5_42,0.021
,,,333.47816,B5_21,0.014
,,,333.47968,B5_33,0.022
,,,333.48256,B5_21,0.019
,,,333.49528,D3_12,0.019
,,,333.49776,B5_21,0.021
,,,333.49784,B5_11,0.028
,,,333.50216,B5_11,0.021
,,,333.50216,B5_14,0.018
,,,333.50728,B5_33,0.059
,,,333.50896,B3_11,0.023
,,,333.51296,B3_22,0.011
,,,333.51328,B3_11,0.021
,,,333.51536,B3_22,0.017
,,,333.51544,B3_31,0.021
,,,333.51552,B3_12,0.017
,,,333.51792,B3_12,0.027
,,,333.51832,B3_22,0.028
,,,333.5216,B3_12,0.016
,,,333.52184,B3_22,0.014
,,,333.52264,B3_31,0.018
,,,333.52272,B3_21,0.029
,,,333.52384,B3_34,0.044
,,,333.52456,B3_13,0.02
,,,333.5248,B3_24,0.015
,,,333.52552,B3_44,0.017
,,,333.52672,B3_22,0.029
,,,333.52824,B3_12,0.014
,,,333.5284,B3_43,0.012
,,,333.52928,D2_23,0.021
,,,333.53,B3_22,0.016
,,,333.53064,B3_31,0.03
,,,333.53096,B3_34,0.013
,,,333.53144,D3_12,0.015
,,,333.532,D3_21,0.02
,,,333.53384,B3_34,0.019
,,,333.53664,B3_22,0.015
,,,333.53688,B3_21,0.019
,,,333.53744,B3_11,0.022
,,,333.5416,B3_11,0.035
,,,333.542,B3_31,0.024
,,,333.54288,B3_13,0.017
,,,333.54312,B3_22,0.036
,,,333.5432,B3_12,0.032
,,,333.54352,B3_42,0.012
,,,333.54368,B5_24,0.014
,,,333.54416,B3_41,0.013
,,,333.5476,B3_22,0.01
,,,333.54864,B3_13,0.015
,,,333.54904,B3_11,0.033
,,,333.54928,B3_12,0.012
,,,333.54952,B3_31,0.019
,,,333.55192,B3_34,0.021
,,,333.55488,B3_22,0.03
,,,333.56872,B5_11,0.022
,,,333.58176,B3_34,0.013
,,,333.58744,B5_14,0.015
,,,333.59376,B1_42,0.017
,,,333.62912,D3_14,0.017
,,,333.63552,B3_42,0.013
,,,333.64488,B5_23,0.026
,,,333.6492,B4_44,0.016
,,,333.6524,D3_31,0.011
,,,333.65272,B5_14,0.017
,,,333.6528,D3_43,0.024
,,,333.65304,D3_44,0.026
,,,333.65376,B5_21,0.017
,,,333.65448,D3_14,0.029
,,,333.65552,D6_42,0.018
,,,333.65664,B5_13,0.013
,,,333.65688,D5_12,0.034
,,,333.66456,B5_23,0.021
,,,333.67456,B1_32,0.014
,,,333.68712,B5_23,0.023
,,,333.68944,B5_24,0.013
,,,333.69072,B5_11,0.023
,,,333.6948,B4_43,0.016
,,,333.70032,D3_14,0.015
,,,333.70064,D3_13,0.032
,,,333.70096,D3_12,0.02
,,,333.70136,D3_11,0.017
,,,333.71288,B1_23,0.023
,,,333.71368,B1_22,0.023
,,,333.71664,D3_43,0.011
,,,333.73016,B5_14,0.015
,,,333.73152,B5_11,0.011
,,,333.74984,D5_12,0.04
,,,333.75048,B5_44,0.018
,,,333.75088,D5_41,0.014
,,,333.75504,B5_44,0.017
,,,333.76904,D3_41,0.01
,,,333.78016,B5_21,0.015
,,,333.78136,B5_11,0.02
,,,333.78352,B5_44,0.016
,,,333.7852,B5_14,0.019
,,,333.78544,B5_43,0.021
,,,333.79408,D5_44,0.018
,,,333.79608,D5_13,0.015
,,,333.81536,D3_22,0.018
,,,333.81976,B5_11,0.022
,,,333.81984,B5_24,0.015
,,,333.8252,B5_11,0.021
,,,333.82608,D2_43,0.031
,,,333.82744,B2_42,0.015
,,,333.8404,D3_42,0.017
,,,333.84512,B5_44,0.018
,,,333.84672,B5_21,0.019
,,,333.85712,B5_11,0.017
,,,333.86088,D3_13,0.021
,,,333.86416,B5_24,0.024
,,,333.8684,B5_32,0.013
,,,333.86976,B5_11,0.026
,,,333.87112,B5_14,0.015
,,,333.87264,B5_44,0.016
,,,333.876,B5_13,0.012
,,,333.87656,B5_21,0.024
,,,333.8768,B5_31,0.011
,,,333.87784,B5_11,0.015
,,,333.8792,B5_23,0.025
,,,333.87936,B5_33,0.055
,,,333.88256,D3_23,0.013
,,,333.88328,D3_14,0.02
,,,333.88496,B5_14,0.024
,,,333.88528,B5_24,0.018
,,,333.88592,B5_11,0.018
,,,333.8888,B5_23,0.016
,,,333.88888,B5_34,0.014
,,,333.88896,B5_22,0.014
,,,333.88912,B5_32,0.013
,,,333.89008,B5_21,0.015
,,,333.8904,B5_14,0.013
,,,333.89064,B5_11,0.018
,,,333.89096,B5_33,0.019
,,,333.8912,B5_23,0.018
,,,333.89128,B5_44,0.021
,,,333.89264,B5_24,0.02
,,,333.89264,B5_31,0.017
,,,333.8928,B5_14,0.014
,,,333.8932,B5_11,0.028
,,,333.89336,B5_32,0.016
,,,333.89352,B5_22,0.026
,,,333.89504,B5_23,0.023
,,,333.89568,B5_21,0.017
,,,333.89656,B5_11,0.017
,,,333.89656,B5_44,0.021
,,,333.89696,B5_42,0.016
,,,333.89848,B5_33,0.023
,,,333.89904,B5_24,0.025
,,,333.89904,B5_41,0.009
,,,333.9,B3_22,0.028
,,,333.90128,B5_41,0.01
,,,333.90136,B5_22,0.018
,,,333.90208,B5_34,0.013
,,,333.90232,B5_24,0.024
,,,333.9024,B5_11,0.015
,,,333.9024,B5_13,0.016
,,,333.90408,B5_14,0.023
,,,333.90536,B5_33,0.068
,,,333.90568,B5_21,0.031
,,,333.90592,B5_22,0.018
,,,333.90616,B5_11,0.023
,,,333.90632,B5_23,0.03
,,,333.90632,B5_44,0.022
,,,333.90648,B5_31,0.02
,,,333.90712,B5_24,0.029
,,,333.90744,B5_34,0.022
,,,333.90792,B5_21,0.025
,,,333.90824,B5_14,0.027
,,,333.9084,B5_33,0.025
,,,333.90872,B5_13,0.026
,,,333.9088,B5_43,0.012
,,,333.90896,B5_22,0.018
,,,333.90952,B5_23,0.034
,,,333.91,B5_44,0.019
,,,333.91016,B5_41,0.014
,,,333.91064,B5_24,0.019
,,,333.91088,B5_12,0.018
,,,333.91096,B5_13,0.013
,,,333.91104,B5_14,0.021
,,,333.91192,B5_32,0.019
,,,333.91208,B5_22,0.037
,,,333.9124,B5_11,0.022
