Investigator,Ghislaine,,Time (s),Electrode,Amplitude(mV)
,,,4.52248,D6_13,0.013
,,,4.54624,D5_42,0.021
,,,4.5664,B3_13,0.017
,,,4.62336,D4_33,0.012
,,,4.62392,D4_23,0.014
,,,4.62728,B4_44,0.017
,,,4.64608,B1_42,0.023
,,,4.6708,D2_42,0.023
,,,4.678,B1_42,0.012
,,,4.70704,B6_32,0.018
,,,4.70848,D1_31,0.014
,,,4.73496,B1_24,0.014
,,,4.73552,B1_23,0.022
,,,4.73632,B1_22,0.02
,,,4.86576,B5_42,0.011
,,,4.89752,D4_11,0.013
,,,4.9164,B1_14,0.019
,,,4.92208,B1_44,0.016
,,,4.9504,D5_12,0.035
,,,4.95936,B1_44,0.012
,,,4.95944,B1_43,0.013
,,,4.95976,B1_33,0.018
,,,5.00592,D4_14,0.014
,,,5.03352,D5_24,0.031
,,,5.03832,B3_24,0.013
,,,5.06456,B1_42,0.022
,,,5.10864,D1_13,0.013
,,,5.14256,B1_33,0.019
,,,5.29936,D4_33,0.015
,,,5.29984,D4_23,0.014
,,,5.41648,B4_42,0.016
,,,5.48992,D3_42,0.013
,,,5.49104,D3_31,0.015
,,,5.49376,B1_24,0.019
,,,5.49448,B1_23,0.022
,,,5.4952,B1_22,0.018
,,,5.55056,B4_34,0.016
,,,5.562,D6_13,0.015
,,,5.5624,D5_41,0.011
,,,5.60288,B3_13,0.017
,,,5.6404,B2_11,0.014
,,,5.6596,B1_42,0.022
,,,5.67232,B5_21,0.016
,,,5.6732,B5_11,0.015
,,,5.7204,D3_31,0.015
,,,5.76264,D3_42,0.011
,,,5.77832,B4_13,0.015
,,,5.80208,D5_34,0.017
,,,5.80232,D5_24,0.031
,,,5.8092,D5_11,0.058
,,,5.80992,D5_21,0.024
,,,5.81,D5_31,0.029
,,,5.81456,D5_12,0.022
,,,5.81672,B4_43,0.015
,,,5.84944,D5_44,0.02
,,,5.86352,B3_13,0.015
,,,5.89312,B4_44,0.017
,,,5.93872,B2_11,0.021
,,,5.95048,B2_11,0.02
,,,5.95552,B1_42,0.01
,,,5.96296,B2_21,0.015
,,,5.97,B2_11,0.022
,,,5.97432,B2_12,0.013
,,,5.97864,B6_43,0.03
,,,6.00384,B2_33,0.016
,,,6.00784,B2_11,0.026
,,,6.01248,B2_31,0.019
,,,6.01496,B2_43,0.015
,,,6.01992,D3_34,0.03
,,,6.02016,D3_44,0.039
,,,6.022,B2_11,0.022
,,,6.02792,B2_33,0.016
,,,6.0304,B2_11,0.023
,,,6.03424,B2_13,0.018
,,,6.03912,B2_24,0.019
,,,6.0404,B2_33,0.02
,,,6.04064,B2_23,0.011
,,,6.04496,B2_33,0.017
,,,6.0544,B2_43,0.02
,,,6.0676,B2_43,0.02
,,,6.0704,B2_11,0.026
,,,6.07336,B2_13,0.022
,,,6.0776,B2_24,0.018
,,,6.08032,B2_33,0.013
,,,6.08048,B2_11,0.014
,,,6.08296,B2_23,0.019
,,,6.08664,B1_42,0.023
,,,6.08912,B2_43,0.025
,,,6.092,B2_23,0.018
,,,6.0944,B2_23,0.014
,,,6.09632,B2_12,0.02
,,,6.1016,B2_43,0.014
,,,6.10792,B2_32,0.019
,,,6.10856,B2_21,0.015
,,,6.10888,B2_31,0.026
,,,6.10976,B2_42,0.018
,,,6.11072,B2_11,0.019
,,,6.1124,B2_33,0.018
,,,6.11304,B2_23,0.011
,,,6.11488,B2_42,0.023
,,,6.12056,B2_31,0.029
,,,6.12072,B2_32,0.02
,,,6.12264,B2_11,0.017
,,,6.12448,B2_31,0.029
,,,6.12536,B2_33,0.021
,,,6.12576,B2_24,0.018
,,,6.12584,B2_42,0.019
,,,6.12888,B2_23,0.015
,,,6.12976,B2_11,0.015
,,,6.12992,B2_31,0.024
,,,6.13384,B2_22,0.013
,,,6.13392,B2_31,0.023
,,,6.13432,B2_32,0.015
,,,6.13624,B2_24,0.02
,,,6.13624,B2_42,0.021
,,,6.13752,B2_14,0.014
,,,6.13752,B2_21,0.015
,,,6.13832,B2_33,0.013
,,,6.13976,B2_32,0.017
,,,6.13984,B2_13,0.015
,,,6.1416,B2_33,0.016
,,,6.14376,B2_42,0.018
,,,6.14424,B2_21,0.016
,,,6.14504,B2_32,0.018
,,,6.14632,B2_24,0.015
,,,6.14656,B2_34,0.019
,,,6.14752,B2_31,0.021
,,,6.14856,B2_43,0.014
,,,6.15064,B2_23,0.018
,,,6.15104,B2_22,0.019
,,,6.15136,B2_31,0.022
,,,6.15208,B2_42,0.026
,,,6.15256,B2_43,0.026
,,,6.15328,B2_32,0.015
,,,6.15792,B2_43,0.023
,,,6.16048,B2_24,0.013
,,,6.16112,B2_11,0.022
,,,6.1612,B1_24,0.013
,,,6.16176,B1_23,0.019
,,,6.16256,B1_22,0.02
,,,6.16384,B2_32,0.017
,,,6.16904,B2_33,0.02
,,,6.17112,B2_23,0.018
,,,6.1784,B2_14,0.019
,,,6.18664,B2_31,0.025
,,,6.18696,B2_22,0.014
,,,6.18768,B2_43,0.019
,,,6.188,B2_42,0.024
,,,6.18976,B2_13,0.018
,,,6.2052,B2_11,0.014
,,,6.20592,B2_23,0.013
,,,6.20688,B1_13,0.024
,,,6.2132,B4_42,0.014
,,,6.25664,D4_24,0.014
,,,6.25696,D4_14,0.017
,,,6.26112,B5_23,0.024
,,,6.2648,B2_24,0.015
,,,6.26496,B2_31,0.022
,,,6.28168,B1_13,0.021
,,,6.28616,B4_44,0.015
,,,6.2948,B2_23,0.017
,,,6.29704,B2_23,0.015
,,,6.30672,B2_11,0.023
,,,6.30904,B2_43,0.018
,,,6.32408,B2_23,0.017
,,,6.32456,B2_22,0.017
,,,6.3272,B2_22,0.013
,,,6.32792,B2_23,0.017
,,,6.33496,B2_33,0.016
,,,6.338,B2_33,0.017
,,,6.35968,B2_34,0.016
,,,6.36024,B2_11,0.022
,,,6.36704,B5_21,0.016
,,,6.36784,B5_11,0.014
,,,6.3704,B2_34,0.014
,,,6.37144,B2_24,0.011
,,,6.37992,B2_34,0.016
,,,6.38864,B2_43,0.018
,,,6.42168,B2_11,0.016
,,,6.4316,B2_24,0.017
,,,6.43208,B2_34,0.019
,,,6.4388,B2_43,0.022
,,,6.44024,B2_33,0.016
,,,6.44536,B2_12,0.016
,,,6.44616,B2_11,0.018
,,,6.44832,B2_24,0.018
,,,6.45,B2_12,0.016
,,,6.46216,B5_11,0.013
,,,6.4636,B2_32,0.014
,,,6.46968,B2_23,0.018
,,,6.4832,B2_43,0.019
,,,6.48632,D5_12,0.037
,,,6.48744,D5_41,0.011
,,,6.4876,B2_43,0.015
,,,6.48944,B2_32,0.018
,,,6.49008,B2_34,0.017
,,,6.4932,B2_12,0.015
,,,6.4936,B2_14,0.018
,,,6.50368,B2_24,0.013
,,,6.50832,B2_22,0.018
,,,6.514,B1_42,0.018
,,,6.5192,B2_14,0.022
,,,6.52,B2_43,0.025
,,,6.52952,B2_11,0.02
,,,6.53784,B2_42,0.014
,,,6.56936,B2_42,0.02
,,,6.57008,B2_11,0.014
,,,6.57104,B2_43,0.018
,,,6.57528,B2_12,0.018
,,,6.58096,B2_14,0.012
,,,6.5848,B2_11,0.014
,,,6.58944,B2_13,0.017
,,,6.592,B2_24,0.014
,,,6.59448,B2_33,0.022
,,,6.59464,B2_14,0.017
,,,6.5964,B2_43,0.018
,,,6.59688,B2_13,0.016
,,,6.59776,B2_23,0.014
,,,6.59832,B2_33,0.024
,,,6.5988,B2_31,0.016
,,,6.60128,B2_42,0.02
,,,6.60488,B2_21,0.017
,,,6.60576,B2_13,0.017
,,,6.606,B2_14,0.02
,,,6.60888,B2_22,0.018
,,,6.61032,B2_32,0.013
,,,6.6116,B2_31,0.016
,,,6.61184,B2_33,0.019
,,,6.61488,B2_12,0.016
,,,6.61736,B2_43,0.022
,,,6.62064,B2_43,0.025
,,,6.6232,B2_33,0.017
,,,6.62344,B2_21,0.014
,,,6.62392,B2_34,0.02
,,,6.6244,B2_24,0.011
,,,6.62576,B2_42,0.017
,,,6.62576,B2_43,0.018
,,,6.62704,B2_22,0.017
,,,6.6272,B2_32,0.021
,,,6.62728,B2_31,0.025
,,,6.62824,B2_42,0.021
,,,6.62896,B2_43,0.016
,,,6.63392,B2_12,0.019
,,,6.63464,B2_11,0.015
,,,6.63512,B2_31,0.023
,,,6.63552,B2_32,0.017
,,,6.64256,B2_21,0.019
,,,6.64384,B2_13,0.019
,,,6.64424,B2_34,0.017
,,,6.65016,B2_22,0.018
,,,6.6504,B2_31,0.027
,,,6.6512,B2_42,0.02
,,,6.65184,B2_11,0.03
,,,6.65584,B2_12,0.018
,,,6.65976,B2_31,0.015
,,,6.66424,B2_14,0.011
,,,6.6652,B2_43,0.015
,,,6.66752,B2_14,0.015
,,,6.67808,B2_11,0.013
,,,6.67856,B2_14,0.015
,,,6.67888,B2_24,0.019
,,,6.68416,B5_24,0.017
,,,6.68656,B2_24,0.022
,,,6.69616,B2_13,0.018
,,,6.71288,B2_12,0.013
,,,6.71912,B2_33,0.011
,,,6.726,B2_14,0.02
,,,6.72616,B2_42,0.019
,,,6.73024,B5_14,0.013
,,,6.7416,D5_11,0.017
,,,6.75264,B2_31,0.02
,,,6.75544,D5_44,0.016
,,,6.7608,B2_42,0.018
,,,6.7844,B4_42,0.013
,,,6.79192,B1_42,0.01
,,,6.79816,B4_44,0.016
,,,6.84888,B2_31,0.027
,,,6.84928,B2_32,0.013
,,,6.85712,B2_42,0.017
,,,6.8696,B2_24,0.016
,,,6.87472,B2_31,0.015
