Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,444.29368,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,444.29736,D5_23,0.044,,,,,,,,,,,,,,,,,,,,
,,444.29912,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,444.30008,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,444.30248,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,444.30384,D5_23,0.072,,,,,,,,,,,,,,,,,,,,
,,444.30624,D5_33,0.034,,,,,,,,,,,,,,,,,,,,
,,444.30712,D5_34,0.037,,,,,,,,,,,,,,,,,,,,
,,444.30872,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,444.30888,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.31128,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,444.31184,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,444.31232,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,444.31408,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,444.31592,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,444.3168,D5_23,0.044,,,,,,,,,,,,,,,,,,,,
,,444.31848,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,444.3192,D5_23,0.054,,,,,,,,,,,,,,,,,,,,
,,444.32128,D4_42,0.014,,,,,,,,,,,,,,,,,,,,
,,444.32184,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,444.32208,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,444.3244,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,444.32528,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,444.32584,D5_24,0.016,,,,,,,,,,,,,,,,,,,,
,,444.3276,D5_23,0.042,,,,,,,,,,,,,,,,,,,,
,,444.32776,D5_33,0.031,,,,,,,,,,,,,,,,,,,,
,,444.33,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,444.33064,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,444.33104,D5_22,0.01,,,,,,,,,,,,,,,,,,,,
,,444.33232,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,444.33328,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,444.33504,D5_23,0.059,,,,,,,,,,,,,,,,,,,,
,,444.33584,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,444.33688,D5_33,0.033,,,,,,,,,,,,,,,,,,,,
,,444.33736,D5_24,0.015,,,,,,,,,,,,,,,,,,,,
,,444.33776,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,444.33912,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,444.33968,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,444.34064,D5_23,0.067,,,,,,,,,,,,,,,,,,,,
,,444.34208,D5_24,0.013,,,,,,,,,,,,,,,,,,,,
,,444.3424,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,444.34288,D5_23,0.068,,,,,,,,,,,,,,,,,,,,
,,444.34368,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,444.34472,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,444.3472,D5_23,0.083,,,,,,,,,,,,,,,,,,,,
,,444.34872,D5_22,0.011,,,,,,,,,,,,,,,,,,,,
,,444.34872,D5_33,0.035,,,,,,,,,,,,,,,,,,,,
,,444.3496,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,444.35008,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,444.35192,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,444.35368,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,444.35448,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,444.35464,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,444.3568,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,444.35696,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,444.358,D5_24,0.014,,,,,,,,,,,,,,,,,,,,
,,444.35824,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,444.3596,D5_34,0.032,,,,,,,,,,,,,,,,,,,,
,,444.36,D5_23,0.047,,,,,,,,,,,,,,,,,,,,
,,444.36176,D5_22,0.011,,,,,,,,,,,,,,,,,,,,
,,444.36224,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,444.3628,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,444.36384,A6_21,0.016,,,,,,,,,,,,,,,,,,,,
,,444.36512,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,444.366,D5_33,0.042,,,,,,,,,,,,,,,,,,,,
,,444.36752,D5_23,0.043,,,,,,,,,,,,,,,,,,,,
,,444.3684,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,444.37024,D5_23,0.048,,,,,,,,,,,,,,,,,,,,
,,444.37136,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,444.37264,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,444.37512,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,444.37592,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,444.37712,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,444.37736,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,444.37952,D5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,444.38096,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,444.38104,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,444.38176,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,444.3852,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,444.38704,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,444.38832,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.38992,D5_23,0.042,,,,,,,,,,,,,,,,,,,,
,,444.39032,D5_34,0.035,,,,,,,,,,,,,,,,,,,,
,,444.39104,D5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,444.39216,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,444.39392,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,444.39456,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,444.39472,D5_33,0.03,,,,,,,,,,,,,,,,,,,,
,,444.3968,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,444.398,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,444.39928,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,444.39952,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,444.40144,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,444.40216,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,444.40552,D5_23,0.036,,,,,,,,,,,,,,,,,,,,
,,444.40672,D5_24,0.009,,,,,,,,,,,,,,,,,,,,
,,444.40864,D5_34,0.032,,,,,,,,,,,,,,,,,,,,
,,444.40904,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,444.41008,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,444.41096,D5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,444.41192,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,444.41232,D5_33,0.032,,,,,,,,,,,,,,,,,,,,
,,444.4152,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,444.41528,D5_33,0.035,,,,,,,,,,,,,,,,,,,,
,,444.4184,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,444.41888,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,444.4228,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,444.42304,D5_33,0.035,,,,,,,,,,,,,,,,,,,,
,,444.4232,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,444.42536,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,444.42832,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,444.43136,D5_34,0.026,,,,,,,,,,,,,,,,,,,,
,,444.43224,D5_23,0.041,,,,,,,,,,,,,,,,,,,,
,,444.43408,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,444.43488,D5_23,0.044,,,,,,,,,,,,,,,,,,,,
,,444.43704,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,444.43808,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,444.43936,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.442,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,444.44288,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,444.4444,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,444.4456,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,444.44784,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,444.4488,C6_24,0.019,,,,,,,,,,,,,,,,,,,,
,,444.44984,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,444.45016,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,444.45048,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,444.45336,D5_23,0.081,,,,,,,,,,,,,,,,,,,,
,,444.458,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,444.45944,D5_34,0.028,,,,,,,,,,,,,,,,,,,,
,,444.46264,D5_23,0.038,,,,,,,,,,,,,,,,,,,,
,,444.4632,D5_33,0.028,,,,,,,,,,,,,,,,,,,,
,,444.46528,D5_23,0.035,,,,,,,,,,,,,,,,,,,,
,,444.46552,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,444.46912,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,444.46968,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.4724,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,444.47648,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,444.48064,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,444.48296,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,444.48336,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.48632,D5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,444.48816,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,444.48936,D5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,444.4916,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,444.49216,D5_33,0.03,,,,,,,,,,,,,,,,,,,,
,,444.49512,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,444.49712,D5_34,0.012,,,,,,,,,,,,,,,,,,,,
,,444.49784,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,444.4996,D5_34,0.022,,,,,,,,,,,,,,,,,,,,
,,444.50032,D5_23,0.076,,,,,,,,,,,,,,,,,,,,
,,444.50608,D5_33,0.027,,,,,,,,,,,,,,,,,,,,
,,444.51312,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,444.51368,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,444.51712,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,444.52088,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,444.52112,D5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,444.522,D5_23,0.044,,,,,,,,,,,,,,,,,,,,
,,444.52432,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,444.52544,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,444.52704,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,444.5304,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,444.5336,D5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,444.53904,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,444.5408,D5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,444.54248,D5_34,0.023,,,,,,,,,,,,,,,,,,,,
,,444.54744,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,444.55056,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,444.55064,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.55096,C1_22,0.018,,,,,,,,,,,,,,,,,,,,
,,444.55392,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,444.55704,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,444.5572,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,444.55736,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,444.56,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,444.56592,D5_23,0.041,,,,,,,,,,,,,,,,,,,,
,,444.56808,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,444.5684,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,444.56864,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,444.57096,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.57216,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,444.57424,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,444.57592,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,444.57696,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,444.5784,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,444.57992,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,444.58272,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,444.5868,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,444.5892,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,444.59144,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,444.594,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,444.5956,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,444.59928,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,444.60184,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.60496,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,444.60768,D5_33,0.025,,,,,,,,,,,,,,,,,,,,
,,444.60896,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,444.61288,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,444.61432,D5_34,0.012,,,,,,,,,,,,,,,,,,,,
,,444.61752,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,444.61904,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,444.62208,D5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,444.62776,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,444.63288,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,444.64504,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,444.65096,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,444.656,D5_33,0.026,,,,,,,,,,,,,,,,,,,,
,,444.6572,D5_34,0.018,,,,,,,,,,,,,,,,,,,,
,,444.65808,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,444.66352,D5_23,0.032,,,,,,,,,,,,,,,,,,,,
,,444.6728,D5_34,0.028,,,,,,,,,,,,,,,,,,,,
,,444.67304,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,444.68024,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,444.68408,D5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,444.68464,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,444.70984,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,444.71608,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,444.71848,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,444.72088,D5_34,0.032,,,,,,,,,,,,,,,,,,,,
,,444.72976,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,444.72976,D5_33,0.029,,,,,,,,,,,,,,,,,,,,
,,444.73608,D5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,444.7676,D5_23,0.037,,,,,,,,,,,,,,,,,,,,
,,444.77488,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,444.78088,D5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,444.78448,D5_34,0.025,,,,,,,,,,,,,,,,,,,,
,,444.78712,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,444.79056,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,444.80704,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,444.80728,D5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,444.81304,D5_23,0.034,,,,,,,,,,,,,,,,,,,,
,,444.83296,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,444.83696,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,444.8396,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,444.85816,D5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,444.8636,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,444.8808,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,444.88408,D5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,444.89136,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,444.89808,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,444.89992,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,444.90992,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,444.91072,D5_34,0.026,,,,,,,,,,,,,,,,,,,,
,,444.91264,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,444.93144,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,444.95264,D5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,444.95632,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,444.96056,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,444.96872,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,444.97184,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,444.97712,D5_34,0.024,,,,,,,,,,,,,,,,,,,,
,,444.9796,D3_32,0.021,,,,,,,,,,,,,,,,,,,,
,,445.01016,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,445.02152,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,445.04784,D5_34,0.014,,,,,,,,,,,,,,,,,,,,
,,445.11192,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,445.12496,D5_23,0.036,,,,,,,,,,,,,,,,,,,,
,,445.1816,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,445.22816,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,445.28144,D5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,445.28576,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,445.28704,D1_44,0.025,,,,,,,,,,,,,,,,,,,,
,,445.31752,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,445.34216,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,445.38336,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,445.40024,C5_42,0.021,,,,,,,,,,,,,,,,,,,,
,,445.42624,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,445.44152,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,445.44712,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,445.46584,C1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,445.49232,C5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,445.5536,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,445.57984,D1_44,0.019,,,,,,,,,,,,,,,,,,,,
,,445.63408,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,445.64208,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,445.65088,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,445.76592,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,445.93408,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,445.93792,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,445.97312,A3_34,0.022,,,,,,,,,,,,,,,,,,,,
,,446.01064,C1_31,0.011,,,,,,,,,,,,,,,,,,,,
,,446.04504,A3_34,0.01,,,,,,,,,,,,,,,,,,,,
,,446.07408,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,446.54504,D4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,446.64888,B4_13,0.017,,,,,,,,,,,,,,,,,,,,
,,446.91128,D2_23,0.016,,,,,,,,,,,,,,,,,,,,
,,446.96264,A4_34,0.017,,,,,,,,,,,,,,,,,,,,
,,447.2076,A1_43,0.019,,,,,,,,,,,,,,,,,,,,
,,448.318,D1_44,0.028,,,,,,,,,,,,,,,,,,,,
,,448.3512,C6_24,0.037,,,,,,,,,,,,,,,,,,,,
,,448.3556,C6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,448.35992,C6_23,0.019,,,,,,,,,,,,,,,,,,,,
,,448.36112,C6_24,0.029,,,,,,,,,,,,,,,,,,,,
,,448.36936,C6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,448.37136,C6_24,0.034,,,,,,,,,,,,,,,,,,,,
,,448.3736,C6_23,0.017,,,,,,,,,,,,,,,,,,,,
,,448.37376,C6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,448.38016,C6_24,0.029,,,,,,,,,,,,,,,,,,,,
,,448.38544,D1_44,0.022,,,,,,,,,,,,,,,,,,,,
,,448.39416,C6_24,0.037,,,,,,,,,,,,,,,,,,,,
,,448.39728,C6_33,0.015,,,,,,,,,,,,,,,,,,,,
,,448.40416,C6_24,0.033,,,,,,,,,,,,,,,,,,,,
,,448.41072,C6_43,0.013,,,,,,,,,,,,,,,,,,,,
,,448.41688,C6_24,0.032,,,,,,,,,,,,,,,,,,,,
,,448.42736,C6_24,0.03,,,,,,,,,,,,,,,,,,,,
,,448.4348,C6_34,0.021,,,,,,,,,,,,,,,,,,,,
,,448.43784,C6_23,0.013,,,,,,,,,,,,,,,,,,,,
,,448.438,C6_24,0.031,,,,,,,,,,,,,,,,,,,,
,,448.43824,C6_33,0.015,,,,,,,,,,,,,,,,,,,,
,,448.44848,C6_24,0.028,,,,,,,,,,,,,,,,,,,,
,,448.46008,C6_24,0.03,,,,,,,,,,,,,,,,,,,,
,,448.46736,C6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,448.46968,C6_33,0.018,,,,,,,,,,,,,,,,,,,,
,,448.47168,C6_24,0.03,,,,,,,,,,,,,,,,,,,,
,,448.47864,C6_23,0.018,,,,,,,,,,,,,,,,,,,,
,,448.486,C6_24,0.033,,,,,,,,,,,,,,,,,,,,
,,448.49656,C6_33,0.013,,,,,,,,,,,,,,,,,,,,
,,448.49792,C6_24,0.025,,,,,,,,,,,,,,,,,,,,
,,448.50256,C6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,448.5032,C6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,448.51136,C6_33,0.011,,,,,,,,,,,,,,,,,,,,
,,448.514,C6_24,0.038,,,,,,,,,,,,,,,,,,,,
,,448.5264,C6_24,0.032,,,,,,,,,,,,,,,,,,,,
,,448.71128,C3_22,0.015,,,,,,,,,,,,,,,,,,,,
,,448.8464,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,449.228,C2_11,0.012,,,,,,,,,,,,,,,,,,,,
,,449.70928,A6_11,0.02,,,,,,,,,,,,,,,,,,,,
,,449.8924,D2_32,0.016,,,,,,,,,,,,,,,,,,,,
,,450.19728,D2_44,0.023,,,,,,,,,,,,,,,,,,,,
,,450.2652,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,450.63952,C6_24,0.02,,,,,,,,,,,,,,,,,,,,
,,450.69832,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,450.75472,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,450.8876,A4_31,0.012,,,,,,,,,,,,,,,,,,,,
,,450.902,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,450.96672,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,451.08952,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,451.22008,C1_24,0.012,,,,,,,,,,,,,,,,,,,,
,,451.36544,D3_14,0.012,,,,,,,,,,,,,,,,,,,,
,,451.41936,D2_32,0.017,,,,,,,,,,,,,,,,,,,,
,,451.72664,D4_42,0.022,,,,,,,,,,,,,,,,,,,,
,,451.77616,B2_12,0.014,,,,,,,,,,,,,,,,,,,,
,,451.7984,A1_43,0.019,,,,,,,,,,,,,,,,,,,,
,,452.0156,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,452.07664,D4_42,0.015,,,,,,,,,,,,,,,,,,,,
,,452.10424,D4_31,0.018,,,,,,,,,,,,,,,,,,,,
,,452.6376,C3_11,0.012,,,,,,,,,,,,,,,,,,,,
,,452.72016,D4_42,0.012,,,,,,,,,,,,,,,,,,,,
,,452.92152,D4_42,0.021,,,,,,,,,,,,,,,,,,,,
,,453.43552,A6_11,0.027,,,,,,,,,,,,,,,,,,,,
,,453.47152,C2_11,0.014,,,,,,,,,,,,,,,,,,,,
,,454.156,C2_11,0.016,,,,,,,,,,,,,,,,,,,,
,,454.5208,C4_31,0.016,,,,,,,,,,,,,,,,,,,,
,,454.5288,A3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,454.65176,C6_23,0.018,,,,,,,,,,,,,,,,,,,,
,,454.65552,B4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,454.89128,D4_43,0.013,,,,,,,,,,,,,,,,,,,,
,,454.95624,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,455.06688,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,455.17496,C2_11,0.014,,,,,,,,,,,,,,,,,,,,
,,455.18096,C3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,455.3564,D4_42,0.017,,,,,,,,,,,,,,,,,,,,
,,455.38248,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,455.40056,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,455.5272,C2_11,0.015,,,,,,,,,,,,,,,,,,,,
,,455.6388,C2_11,0.016,,,,,,,,,,,,,,,,,,,,
,,455.71448,C6_43,0.012,,,,,,,,,,,,,,,,,,,,
,,455.74688,C2_11,0.014,,,,,,,,,,,,,,,,,,,,
,,456.12792,A6_12,0.02,,,,,,,,,,,,,,,,,,,,
,,456.17688,D4_42,0.016,,,,,,,,,,,,,,,,,,,,
,,456.18432,A1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,456.81528,C1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,456.8872,C2_22,0.018,,,,,,,,,,,,,,,,,,,,
,,457.03512,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,457.33864,C6_22,0.013,,,,,,,,,,,,,,,,,,,,
,,457.4568,D4_42,0.014,,,,,,,,,,,,,,,,,,,,
,,457.70064,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,457.73008,A6_12,0.019,,,,,,,,,,,,,,,,,,,,
,,457.7372,D5_24,0.009,,,,,,,,,,,,,,,,,,,,
,,457.73752,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,457.74216,D5_23,0.073,,,,,,,,,,,,,,,,,,,,
,,457.85312,D4_42,0.021,,,,,,,,,,,,,,,,,,,,
,,458.16472,D2_44,0.025,,,,,,,,,,,,,,,,,,,,
,,458.18584,D4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,458.20816,D2_44,0.017,,,,,,,,,,,,,,,,,,,,
,,458.34104,C1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,458.40048,B6_13,0.017,,,,,,,,,,,,,,,,,,,,
,,458.406,A6_12,0.022,,,,,,,,,,,,,,,,,,,,
