Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,19.26776,D3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,19.36432,D1_14,0.018,,,,,,,,,,,,,,,,,,,,
,,19.40192,D1_14,0.016,,,,,,,,,,,,,,,,,,,,
,,19.58872,D3_32,0.01,,,,,,,,,,,,,,,,,,,,
,,19.67184,C6_24,0.013,,,,,,,,,,,,,,,,,,,,
,,19.7292,D2_32,0.022,,,,,,,,,,,,,,,,,,,,
,,19.94032,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,20.02384,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,20.05032,B4_13,0.011,,,,,,,,,,,,,,,,,,,,
,,20.12608,B4_12,0.014,,,,,,,,,,,,,,,,,,,,
,,20.29896,B4_13,0.016,,,,,,,,,,,,,,,,,,,,
,,20.5344,C3_23,0.015,,,,,,,,,,,,,,,,,,,,
,,20.53496,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,20.62624,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,20.63152,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,20.8332,D3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,20.94112,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,21.06544,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,21.10072,C4_31,0.014,,,,,,,,,,,,,,,,,,,,
,,21.21704,D3_43,0.015,,,,,,,,,,,,,,,,,,,,
,,21.258,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,21.29128,C4_31,0.012,,,,,,,,,,,,,,,,,,,,
,,21.29888,C4_31,0.012,,,,,,,,,,,,,,,,,,,,
,,21.30424,C4_31,0.028,,,,,,,,,,,,,,,,,,,,
,,21.31392,C4_31,0.014,,,,,,,,,,,,,,,,,,,,
,,21.32504,C4_31,0.025,,,,,,,,,,,,,,,,,,,,
,,21.3488,C4_31,0.013,,,,,,,,,,,,,,,,,,,,
,,21.36672,B4_23,0.026,,,,,,,,,,,,,,,,,,,,
,,21.374,C4_31,0.026,,,,,,,,,,,,,,,,,,,,
,,21.44408,A1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,21.45336,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,21.46984,C6_44,0.015,,,,,,,,,,,,,,,,,,,,
,,21.6512,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
