Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,9.8168,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,9.89328,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,10.00128,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,10.11192,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,10.112,D2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,10.13752,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,10.16976,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,10.17576,B5_11,0.017,,,,,,,,,,,,,,,,,,,,
,,10.192,D2_33,0.029,,,,,,,,,,,,,,,,,,,,
,,10.2564,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,10.28232,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
,,10.2892,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,10.29272,A4_24,0.019,,,,,,,,,,,,,,,,,,,,
,,10.3044,A4_23,0.035,,,,,,,,,,,,,,,,,,,,
,,10.34736,A4_43,0.014,,,,,,,,,,,,,,,,,,,,
,,10.39368,C3_34,0.016,,,,,,,,,,,,,,,,,,,,
,,10.66944,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,10.68016,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,10.72448,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,10.784,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
,,10.79856,B5_22,0.021,,,,,,,,,,,,,,,,,,,,
,,10.86144,C6_44,0.021,,,,,,,,,,,,,,,,,,,,
,,10.87,C3_44,0.015,,,,,,,,,,,,,,,,,,,,
,,10.8896,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,10.89232,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,10.90144,A4_24,0.019,,,,,,,,,,,,,,,,,,,,
,,10.9856,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,11.17976,B3_31,0.014,,,,,,,,,,,,,,,,,,,,
,,11.232,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,11.2392,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,11.25496,B3_31,0.017,,,,,,,,,,,,,,,,,,,,
,,11.3296,C6_34,0.03,,,,,,,,,,,,,,,,,,,,
,,11.42112,B3_31,0.019,,,,,,,,,,,,,,,,,,,,
,,11.48912,B3_31,0.018,,,,,,,,,,,,,,,,,,,,
,,11.5572,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,11.58648,B6_42,0.015,,,,,,,,,,,,,,,,,,,,
,,11.5972,B3_31,0.015,,,,,,,,,,,,,,,,,,,,
,,11.61144,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
