Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,265.36416,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,265.38736,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,265.54072,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,265.57224,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,265.58128,C6_43,0.015,,,,,,,,,,,,,,,,,,,,
,,265.59952,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,265.852,A1_44,0.011,,,,,,,,,,,,,,,,,,,,
,,265.86456,C2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,265.93816,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,265.98552,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,266.02616,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,266.1868,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,266.28392,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,266.34408,C3_43,0.016,,,,,,,,,,,,,,,,,,,,
,,267.04744,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,267.06568,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,267.08336,C5_44,0.019,,,,,,,,,,,,,,,,,,,,
,,267.08544,C5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,267.24776,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,267.50816,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,267.68104,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,267.77704,C5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,267.83384,D2_33,0.029,,,,,,,,,,,,,,,,,,,,
,,267.90024,D6_23,0.016,,,,,,,,,,,,,,,,,,,,
,,267.9388,C1_34,0.018,,,,,,,,,,,,,,,,,,,,
,,267.99136,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,267.99872,C5_13,0.018,,,,,,,,,,,,,,,,,,,,
,,268.06896,B6_24,0.014,,,,,,,,,,,,,,,,,,,,
,,268.14704,C5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,268.1496,A4_34,0.012,,,,,,,,,,,,,,,,,,,,
,,268.1628,C5_13,0.022,,,,,,,,,,,,,,,,,,,,
,,268.39016,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,268.42744,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,268.47008,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,268.47192,D2_13,0.02,,,,,,,,,,,,,,,,,,,,
,,268.47984,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
,,268.55056,D2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,268.5692,B6_42,0.016,,,,,,,,,,,,,,,,,,,,
,,268.65456,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,268.67728,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,268.69568,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,268.69744,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,268.71216,B6_23,0.022,,,,,,,,,,,,,,,,,,,,
,,268.7308,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,268.84328,D2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,268.968,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,269.03224,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,269.06104,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,269.12632,B6_23,0.022,,,,,,,,,,,,,,,,,,,,
,,269.19848,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,269.45608,A2_14,0.018,,,,,,,,,,,,,,,,,,,,
,,269.47664,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,269.51152,C5_14,0.018,,,,,,,,,,,,,,,,,,,,
,,269.6148,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,269.63976,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,269.73504,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,269.83808,A6_34,0.025,,,,,,,,,,,,,,,,,,,,
,,269.85384,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,269.88264,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,270.00048,D6_23,0.014,,,,,,,,,,,,,,,,,,,,
,,270.03184,A6_34,0.031,,,,,,,,,,,,,,,,,,,,
,,270.04592,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,270.15312,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,270.18704,D4_43,0.014,,,,,,,,,,,,,,,,,,,,
,,270.24264,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,270.32952,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,270.3812,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,270.42512,B5_11,0.02,,,,,,,,,,,,,,,,,,,,
,,270.49664,B3_31,0.018,,,,,,,,,,,,,,,,,,,,
,,270.534,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,270.65496,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,270.8164,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,270.97408,A4_23,0.025,,,,,,,,,,,,,,,,,,,,
,,271.31904,A6_34,0.026,,,,,,,,,,,,,,,,,,,,
,,271.36416,D3_24,0.012,,,,,,,,,,,,,,,,,,,,
,,271.36664,D5_44,0.014,,,,,,,,,,,,,,,,,,,,
,,271.43344,D5_44,0.017,,,,,,,,,,,,,,,,,,,,
,,271.45072,A6_34,0.031,,,,,,,,,,,,,,,,,,,,
,,271.5436,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,271.69552,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,271.76712,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,271.8344,D5_44,0.015,,,,,,,,,,,,,,,,,,,,
,,271.87488,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,271.94112,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,272.16432,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,272.17696,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,272.20728,B4_23,0.014,,,,,,,,,,,,,,,,,,,,
,,272.23864,D2_13,0.019,,,,,,,,,,,,,,,,,,,,
,,272.35208,D2_34,0.018,,,,,,,,,,,,,,,,,,,,
,,272.36992,A6_34,0.019,,,,,,,,,,,,,,,,,,,,
,,272.38768,A4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,272.418,A6_34,0.029,,,,,,,,,,,,,,,,,,,,
,,272.46608,D2_13,0.02,,,,,,,,,,,,,,,,,,,,
,,272.4868,B6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,272.5732,D2_34,0.015,,,,,,,,,,,,,,,,,,,,
,,272.57584,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,272.62872,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,272.64824,D2_34,0.016,,,,,,,,,,,,,,,,,,,,
,,272.84048,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,272.99056,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,272.99128,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,273.23088,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,273.23672,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,273.244,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,273.34136,B5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,273.43344,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,273.45248,B5_32,0.016,,,,,,,,,,,,,,,,,,,,
,,273.51984,C5_14,0.017,,,,,,,,,,,,,,,,,,,,
,,273.53392,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,273.54832,C1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,273.58288,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,273.61448,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,273.64904,B6_42,0.015,,,,,,,,,,,,,,,,,,,,
,,273.69592,C1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,273.71944,C3_34,0.012,,,,,,,,,,,,,,,,,,,,
,,273.73272,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,273.77848,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,273.80048,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,273.82944,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,273.8324,D6_32,0.017,,,,,,,,,,,,,,,,,,,,
,,273.84664,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,273.85352,B5_31,0.015,,,,,,,,,,,,,,,,,,,,
,,273.87016,B6_42,0.014,,,,,,,,,,,,,,,,,,,,
,,273.8744,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,273.876,B5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,273.93312,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,273.94264,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,273.9668,B5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,273.99176,B6_44,0.011,,,,,,,,,,,,,,,,,,,,
,,273.99376,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,273.99544,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,274.09032,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,274.10864,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,274.22736,A4_23,0.024,,,,,,,,,,,,,,,,,,,,
,,274.28544,C4_33,0.029,,,,,,,,,,,,,,,,,,,,
,,274.35152,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,274.51272,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,274.6892,B6_23,0.024,,,,,,,,,,,,,,,,,,,,
,,274.87224,D5_44,0.014,,,,,,,,,,,,,,,,,,,,
,,274.9244,C5_13,0.018,,,,,,,,,,,,,,,,,,,,
,,275.09296,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
,,275.15056,D5_44,0.014,,,,,,,,,,,,,,,,,,,,
,,275.15672,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,275.30272,C1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,275.336,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,275.37816,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,275.5172,B5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,275.5328,C5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,275.588,B6_24,0.019,,,,,,,,,,,,,,,,,,,,
,,275.60472,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,275.66144,A4_23,0.025,,,,,,,,,,,,,,,,,,,,
,,275.76088,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
,,275.77104,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,275.78024,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,275.84608,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,275.85496,C5_44,0.018,,,,,,,,,,,,,,,,,,,,
,,275.86976,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,275.90776,D2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,275.91648,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,275.93704,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,276.06232,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,276.06856,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,276.13224,D2_33,0.023,,,,,,,,,,,,,,,,,,,,
,,276.2876,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,276.34816,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,276.89592,A3_33,0.012,,,,,,,,,,,,,,,,,,,,
,,276.97504,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,277.0384,B6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,277.09648,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,277.11632,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,277.13184,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,277.1352,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,277.15736,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,277.16312,B6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,277.21936,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,277.39088,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,277.39952,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,277.42536,B3_11,0.015,,,,,,,,,,,,,,,,,,,,
,,277.47072,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,277.50304,B5_22,0.021,,,,,,,,,,,,,,,,,,,,
,,277.51448,D6_32,0.017,,,,,,,,,,,,,,,,,,,,
,,277.51704,B3_11,0.013,,,,,,,,,,,,,,,,,,,,
,,277.5368,B5_12,0.015,,,,,,,,,,,,,,,,,,,,
,,277.6484,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,277.65312,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,277.66472,B6_42,0.013,,,,,,,,,,,,,,,,,,,,
,,277.74712,C1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,277.788,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,277.856,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,277.86512,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,277.91192,C6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,277.92352,C4_33,0.016,,,,,,,,,,,,,,,,,,,,
,,278.0128,B5_32,0.015,,,,,,,,,,,,,,,,,,,,
,,278.10352,A6_34,0.016,,,,,,,,,,,,,,,,,,,,
,,278.2516,D2_33,0.031,,,,,,,,,,,,,,,,,,,,
,,278.35016,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,278.37544,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
,,278.48792,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,278.61544,B6_42,0.016,,,,,,,,,,,,,,,,,,,,
,,278.818,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,278.84272,A1_42,0.023,,,,,,,,,,,,,,,,,,,,
,,278.85448,A6_34,0.03,,,,,,,,,,,,,,,,,,,,
,,278.86576,A3_33,0.014,,,,,,,,,,,,,,,,,,,,
,,278.89072,B6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,278.91624,A4_23,0.014,,,,,,,,,,,,,,,,,,,,
,,279.03344,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,279.14368,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,279.21704,A4_34,0.018,,,,,,,,,,,,,,,,,,,,
,,279.31136,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,279.3148,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,279.6296,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,279.74904,B5_32,0.013,,,,,,,,,,,,,,,,,,,,
,,279.8428,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,279.89048,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,280.20152,C6_44,0.022,,,,,,,,,,,,,,,,,,,,
,,280.36336,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,280.5892,A4_43,0.014,,,,,,,,,,,,,,,,,,,,
,,280.71,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,281.06088,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,281.19984,B3_12,0.027,,,,,,,,,,,,,,,,,,,,
,,281.3236,B5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,281.41272,A4_34,0.016,,,,,,,,,,,,,,,,,,,,
,,281.58104,D2_33,0.023,,,,,,,,,,,,,,,,,,,,
,,281.75848,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,281.80192,D5_44,0.015,,,,,,,,,,,,,,,,,,,,
,,281.84976,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,281.94216,C3_34,0.011,,,,,,,,,,,,,,,,,,,,
,,282.01048,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,282.17152,C3_34,0.019,,,,,,,,,,,,,,,,,,,,
,,282.18912,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,282.36008,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,282.48408,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,282.57344,A6_14,0.023,,,,,,,,,,,,,,,,,,,,
,,282.8328,A6_34,0.019,,,,,,,,,,,,,,,,,,,,
,,283.03608,B6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,283.07088,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,283.10584,A4_23,0.033,,,,,,,,,,,,,,,,,,,,
,,283.14984,B6_43,0.02,,,,,,,,,,,,,,,,,,,,
,,283.15272,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,283.2644,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,283.28104,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,283.3176,C5_13,0.019,,,,,,,,,,,,,,,,,,,,
,,283.32128,C6_44,0.015,,,,,,,,,,,,,,,,,,,,
,,283.32608,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,283.42784,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,283.44304,C5_13,0.022,,,,,,,,,,,,,,,,,,,,
,,283.71488,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,283.74912,A6_34,0.025,,,,,,,,,,,,,,,,,,,,
,,283.75464,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,283.85088,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,283.95896,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,283.96512,A6_34,0.032,,,,,,,,,,,,,,,,,,,,
,,284.08472,A6_34,0.026,,,,,,,,,,,,,,,,,,,,
,,284.1272,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,284.1616,A6_34,0.024,,,,,,,,,,,,,,,,,,,,
,,284.19864,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,284.2324,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,284.254,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,284.26,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,284.39568,A6_34,0.021,,,,,,,,,,,,,,,,,,,,
,,284.47696,A6_34,0.028,,,,,,,,,,,,,,,,,,,,
,,284.614,A1_33,0.013,,,,,,,,,,,,,,,,,,,,
,,284.62872,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,284.68448,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,284.71984,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,284.72568,D2_13,0.018,,,,,,,,,,,,,,,,,,,,
,,284.87352,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,284.87696,B4_22,0.013,,,,,,,,,,,,,,,,,,,,
,,285.12024,A4_14,0.012,,,,,,,,,,,,,,,,,,,,
,,285.14464,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,285.15456,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,285.23216,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,285.5464,A4_23,0.034,,,,,,,,,,,,,,,,,,,,
,,285.7292,A4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,285.79208,A4_34,0.014,,,,,,,,,,,,,,,,,,,,
,,285.9756,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,286.01672,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,286.02776,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,286.07848,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,286.19792,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,286.35856,B5_12,0.015,,,,,,,,,,,,,,,,,,,,
,,286.42272,B5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,286.55088,B5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,286.60464,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,286.668,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,286.67416,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,286.75472,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,286.84328,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,286.91128,B6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,286.95128,C6_43,0.014,,,,,,,,,,,,,,,,,,,,
,,286.95848,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
,,287.0268,A3_33,0.013,,,,,,,,,,,,,,,,,,,,
,,287.03208,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
,,287.05064,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,287.05872,A1_11,0.075,,,,,,,,,,,,,,,,,,,,
,,287.11528,A4_34,0.013,,,,,,,,,,,,,,,,,,,,
,,287.11856,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,287.44232,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,287.51496,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,287.52544,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,287.5684,A4_44,0.014,,,,,,,,,,,,,,,,,,,,
,,287.62224,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,287.66184,C5_24,0.016,,,,,,,,,,,,,,,,,,,,
,,287.72312,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,287.73416,C5_24,0.022,,,,,,,,,,,,,,,,,,,,
,,287.8116,D3_24,0.012,,,,,,,,,,,,,,,,,,,,
,,287.81336,B3_11,0.015,,,,,,,,,,,,,,,,,,,,
,,287.83384,A1_43,0.01,,,,,,,,,,,,,,,,,,,,
,,287.9064,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,287.9768,C4_34,0.014,,,,,,,,,,,,,,,,,,,,
,,288.05744,D2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,288.09032,B5_22,0.021,,,,,,,,,,,,,,,,,,,,
,,288.19384,A4_23,0.026,,,,,,,,,,,,,,,,,,,,
,,288.22168,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,288.23008,B5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,288.26136,B5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,288.27384,D2_33,0.024,,,,,,,,,,,,,,,,,,,,
,,288.36088,B5_22,0.022,,,,,,,,,,,,,,,,,,,,
,,288.36688,D2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,288.47712,A4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,288.6548,B3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,288.67488,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,288.7528,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,288.76896,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,288.85176,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,288.85936,D4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,288.89544,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,288.9248,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,288.9624,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,288.98056,D5_44,0.016,,,,,,,,,,,,,,,,,,,,
,,289.01624,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,289.0856,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,289.20888,D6_32,0.019,,,,,,,,,,,,,,,,,,,,
,,289.32584,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,289.36776,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,289.38184,C3_34,0.016,,,,,,,,,,,,,,,,,,,,
,,289.49704,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,289.77328,A2_14,0.017,,,,,,,,,,,,,,,,,,,,
,,289.97784,C3_43,0.016,,,,,,,,,,,,,,,,,,,,
,,290.22232,D2_24,0.018,,,,,,,,,,,,,,,,,,,,
,,290.32744,C4_33,0.027,,,,,,,,,,,,,,,,,,,,
,,290.37192,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,290.67112,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,290.83472,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,290.85648,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,291.02136,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,291.16768,B6_42,0.019,,,,,,,,,,,,,,,,,,,,
,,291.36336,B6_42,0.018,,,,,,,,,,,,,,,,,,,,
,,291.43464,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,291.49104,C5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,291.51168,B6_22,0.013,,,,,,,,,,,,,,,,,,,,
,,291.70392,B4_34,0.015,,,,,,,,,,,,,,,,,,,,
,,291.85488,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,291.8788,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,292.04504,A4_34,0.014,,,,,,,,,,,,,,,,,,,,
,,292.07736,A4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,292.27752,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,292.33672,A4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,292.55528,C1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,292.58768,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,292.58992,D2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,292.64752,B5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,292.82736,D2_34,0.016,,,,,,,,,,,,,,,,,,,,
,,293.03024,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,293.20808,D2_34,0.019,,,,,,,,,,,,,,,,,,,,
,,293.25976,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,293.2992,A1_42,0.024,,,,,,,,,,,,,,,,,,,,
,,293.44512,C5_13,0.021,,,,,,,,,,,,,,,,,,,,
,,293.49288,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
,,293.572,C6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,293.6552,C5_13,0.02,,,,,,,,,,,,,,,,,,,,
,,293.69464,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,293.78752,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,293.83936,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,293.85792,A1_42,0.016,,,,,,,,,,,,,,,,,,,,
,,293.93064,C5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,294.03464,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,294.12864,D4_23,0.01,,,,,,,,,,,,,,,,,,,,
,,294.14896,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,294.48144,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,294.52272,B6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,294.62176,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,294.62816,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,294.6696,B6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,294.6828,A4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,294.7444,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,294.75608,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,294.77312,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
