Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,00003.276560,C4_14,0.039
,,00003.307600,C6_24,0.016
,,00003.320240,A4_32,0.016
,,00003.329840,A2_11,0.021
,,00003.337920,D3_43,0.023
,,00003.348960,C4_34,0.026
,,00003.370480,D1_33,0.096
,,00003.380560,A4_32,0.019
,,00003.381520,D4_32,0.018
,,00003.401440,B1_31,0.022
,,00003.434480,D2_31,0.02
,,00003.445200,A5_14,0.028
,,00003.456080,A4_32,0.018
,,00003.498960,D1_34,0.019
,,00003.502720,B3_34,0.032
,,00003.505040,C6_31,0.021
,,00003.517120,D1_22,0.031
,,00003.526640,C6_31,0.029
,,00003.540000,C4_12,0.038
,,00003.554880,D1_33,0.063
,,00003.564400,A2_11,0.02
,,00003.587040,C4_14,0.054
,,00003.604800,D6_43,0.025
,,00003.621200,C6_43,0.031
,,00003.664480,A3_33,0.021
,,00003.697440,C1_44,0.038
,,00003.705680,D1_33,0.047
,,00003.729040,D4_33,0.018
,,00003.741280,A3_31,0.024
,,00003.792480,C6_31,0.022
,,00003.802480,D1_23,0.022
,,00003.806240,C6_42,0.022
,,00003.807600,C6_43,0.027
,,00003.808160,C1_32,0.017
,,00003.822880,C6_44,0.033
,,00003.835600,C4_12,0.049
,,00003.871040,A3_32,0.029
,,00003.880960,D3_13,0.025
,,00003.899760,C6_42,0.024
,,00003.918400,A5_44,0.033
,,00003.925280,C6_32,0.016
,,00003.938480,D4_42,0.019
,,00003.960960,A3_33,0.03
,,00004.004160,B1_31,0.018
,,00004.029520,A4_34,0.02
,,00004.070880,A3_33,0.039
,,00004.079280,D1_33,0.052
,,00004.088000,D2_31,0.035
,,00004.100960,D1_33,0.058
,,00004.108560,C6_22,0.017
,,00004.126880,C3_22,0.012
,,00004.133600,B3_22,0.024
,,00004.172160,C4_14,0.03
,,00004.177680,D2_31,0.025
,,00004.189680,C6_31,0.021
,,00004.194160,C4_11,0.038
,,00004.202000,D6_34,0.02
,,00004.202240,C6_22,0.02
,,00004.219760,D1_33,0.066
,,00004.224560,B5_32,0.023
,,00004.243200,D2_31,0.021
,,00004.253600,A4_11,0.04
,,00004.269440,D1_44,0.012
,,00004.286160,A4_32,0.02
,,00004.297120,B3_44,0.029
,,00004.302640,C1_34,0.032
,,00004.305360,B5_32,0.025
,,00004.305760,D1_33,0.045
,,00004.318000,C6_43,0.026
,,00004.342480,A3_32,0.022
,,00004.344480,D4_33,0.018
,,00004.345040,C6_22,0.018
,,00004.346720,B5_32,0.024
,,00004.385920,C4_11,0.029
,,00004.403360,A2_11,0.021
,,00004.412560,B5_32,0.027
,,00004.422800,B3_42,0.034
,,00004.434080,B1_31,0.037
,,00004.436480,C4_22,0.053
,,00004.443040,C6_44,0.029
,,00004.487360,A1_32,0.03
,,00004.496000,B3_13,0.027
,,00004.496640,B5_32,0.03
,,00004.512880,C6_31,0.026
,,00004.517360,A4_44,0.021
,,00004.518000,A3_32,0.032
,,00004.538960,C1_44,0.071
,,00004.543760,D1_22,0.022
,,00004.582080,D6_43,0.019
,,00004.592000,C4_12,0.035
,,00004.609680,B6_13,0.035
,,00004.625840,C1_44,0.035
,,00004.649040,D6_43,0.022
,,00004.651120,C1_44,0.044
,,00004.657040,D1_33,0.106
,,00004.665840,C4_12,0.037
,,00004.702320,C6_44,0.025
,,00004.732320,D1_23,0.022
,,00004.746240,B6_42,0.027
,,00004.749360,C4_12,0.049
,,00004.753600,C4_11,0.035
,,00004.781280,D1_22,0.028
,,00004.804640,C4_23,0.035
,,00004.817120,C4_14,0.075
,,00004.827520,D1_23,0.017
,,00004.834240,A2_14,0.028
,,00004.835680,D1_33,0.064
,,00004.837040,D6_43,0.026
,,00004.837120,C6_43,0.023
,,00004.842320,C6_42,0.019
,,00004.861120,D1_33,0.025
,,00004.868800,A1_21,0.047
,,00004.872160,C4_14,0.081
,,00004.887440,B5_32,0.029
,,00004.891920,C1_32,0.018
,,00004.899840,D1_22,0.02
,,00004.903200,D2_31,0.025
,,00004.908320,C4_14,0.043
,,00004.919440,C4_14,0.076
,,00004.944720,C2_43,0.019
,,00004.953440,C4_14,0.06
,,00004.986160,C4_14,0.076
,,00004.998400,B5_32,0.02
,,00005.008480,C1_34,0.026
,,00005.009200,C4_14,0.067
,,00005.017840,C6_44,0.031
,,00005.026000,D3_44,0.02
,,00005.035920,B5_32,0.023
,,00005.038960,C6_22,0.033
,,00005.039680,B6_11,0.033
,,00005.039920,C4_14,0.061
,,00005.040640,D1_23,0.02
,,00005.042720,C6_43,0.036
,,00005.054560,C6_32,0.016
,,00005.069120,C6_22,0.035
,,00005.084480,D4_32,0.019
,,00005.088880,D1_13,0.022
,,00005.098480,C4_12,0.03
,,00005.137280,C6_42,0.015
,,00005.144400,D3_43,0.02
,,00005.163360,D6_43,0.022
,,00005.170320,B5_32,0.028
,,00005.170720,A5_31,0.021
,,00005.173920,C6_43,0.031
,,00005.178240,B6_11,0.026
,,00005.181120,B5_32,0.031
,,00005.186480,C6_24,0.014
,,00005.193600,D1_33,0.035
,,00005.202240,C6_44,0.028
,,00005.202560,A4_42,0.023
,,00005.207440,D1_13,0.023
,,00005.210400,C4_14,0.035
,,00005.221360,A3_32,0.045
,,00005.238640,B5_32,0.028
,,00005.246800,C4_42,0.023
,,00005.250240,D1_33,0.109
,,00005.253200,A3_11,0.033
,,00005.258320,A2_11,0.019
,,00005.279440,A2_11,0.022
,,00005.280240,D1_14,0.017
,,00005.307360,C6_31,0.021
,,00005.353680,B3_43,0.028
,,00005.389920,A5_31,0.022
,,00005.393760,C6_31,0.02
,,00005.414000,D1_22,0.03
,,00005.418640,C4_22,0.025
,,00005.420080,C6_31,0.022
,,00005.426800,C1_44,0.077
,,00005.459840,A1_21,0.034
,,00005.463440,A5_31,0.025
,,00005.471200,C4_11,0.036
,,00005.476000,B1_42,0.015
,,00005.482240,A3_31,0.037
,,00005.488400,B5_23,0.019
,,00005.507680,B4_13,0.022
,,00005.511280,C6_31,0.024
,,00005.512880,A3_21,0.03
,,00005.534720,B5_22,0.026
,,00005.535440,B1_31,0.019
,,00005.545440,C6_43,0.032
,,00005.547120,A1_22,0.023
,,00005.548720,D1_33,0.06
,,00005.561120,C6_44,0.035
,,00005.567120,D1_34,0.021
,,00005.567280,A1_21,0.027
,,00005.592320,A4_44,0.031
,,00005.594640,C4_22,0.056
,,00005.609920,C6_22,0.018
,,00005.611520,B1_31,0.016
,,00005.628720,D1_24,0.013
,,00005.645600,D3_44,0.023
,,00005.646000,D3_32,0.02
,,00005.648720,D1_34,0.025
,,00005.648800,D2_31,0.021
,,00005.655280,D6_34,0.013
,,00005.663040,A4_32,0.016
,,00005.672960,C6_31,0.022
,,00005.698720,D2_42,0.021
,,00005.700480,A2_11,0.019
,,00005.708320,D4_42,0.023
,,00005.708480,A4_11,0.035
,,00005.714640,D6_23,0.019
,,00005.720400,C6_31,0.021
,,00005.722320,B5_33,0.025
,,00005.722640,A3_33,0.031
,,00005.735280,D1_23,0.022
,,00005.765760,C4_12,0.064
,,00005.771360,A1_21,0.025
,,00005.777680,D1_13,0.021
,,00005.791760,A3_32,0.037
,,00005.794080,B5_22,0.028
,,00005.797280,A3_33,0.026
,,00005.808960,A1_21,0.028
,,00005.811920,C6_31,0.021
,,00005.836640,C6_43,0.021
,,00005.837600,B5_33,0.021
,,00005.852640,B1_31,0.032
,,00005.871120,C4_11,0.033
,,00005.879760,C2_32,0.023
,,00005.883520,A3_33,0.021
,,00005.890160,C4_22,0.022
,,00005.891600,A3_31,0.032
,,00005.894640,D4_33,0.017
,,00005.925680,A3_31,0.034
,,00005.930480,A1_31,0.02
,,00005.947520,A3_33,0.043
,,00005.957440,D1_24,0.015
,,00005.958080,C4_22,0.022
,,00005.982480,C1_44,0.032
,,00005.983360,D1_33,0.041
,,00005.987360,C6_44,0.027
,,00006.009760,B3_42,0.028
,,00006.053680,A3_33,0.025
,,00006.062320,A2_24,0.021
,,00006.080000,B3_44,0.025
,,00006.081120,A4_33,0.015
,,00006.081360,C1_34,0.031
,,00006.087200,A3_33,0.026
,,00006.090320,D1_24,0.015
,,00006.094480,C1_32,0.019
,,00006.097120,D5_34,0.026
,,00006.105200,C4_44,0.017
,,00006.126000,C4_12,0.033
,,00006.155200,C1_32,0.017
,,00006.172000,A3_32,0.025
,,00006.179760,A1_21,0.027
,,00006.191680,B5_31,0.024
,,00006.220640,D1_22,0.031
,,00006.225360,D1_33,0.037
,,00006.231600,A4_44,0.028
,,00006.239280,D1_24,0.014
,,00006.248960,D1_33,0.064
,,00006.253040,B1_31,0.018
,,00006.260080,A3_11,0.025
,,00006.290960,D2_31,0.023
