Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,2.00368,C2_11,0.018,,,,,,,,,,,,,,,,,,,,
,,2.00592,A4_42,0.03,,,,,,,,,,,,,,,,,,,,
,,2.00992,D3_32,0.016,,,,,,,,,,,,,,,,,,,,
,,2.01088,D3_22,0.027,,,,,,,,,,,,,,,,,,,,
,,2.02232,D2_31,0.016,,,,,,,,,,,,,,,,,,,,
,,2.02496,D3_42,0.012,,,,,,,,,,,,,,,,,,,,
,,2.0312,A5_32,0.014,,,,,,,,,,,,,,,,,,,,
,,2.03376,B6_11,0.018,,,,,,,,,,,,,,,,,,,,
,,2.05608,D3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,2.06392,A4_22,0.021,,,,,,,,,,,,,,,,,,,,
,,2.06528,A3_31,0.021,,,,,,,,,,,,,,,,,,,,
,,2.06608,A4_42,0.036,,,,,,,,,,,,,,,,,,,,
,,2.08192,B5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,2.08288,B5_22,0.023,,,,,,,,,,,,,,,,,,,,
,,2.10224,D3_32,0.016,,,,,,,,,,,,,,,,,,,,
,,2.10608,A4_34,0.016,,,,,,,,,,,,,,,,,,,,
,,2.1076,B5_43,0.014,,,,,,,,,,,,,,,,,,,,
,,2.11168,A4_32,0.023,,,,,,,,,,,,,,,,,,,,
,,2.12632,D2_42,0.027,,,,,,,,,,,,,,,,,,,,
,,2.14048,A4_22,0.025,,,,,,,,,,,,,,,,,,,,
,,2.1484,B3_32,0.023,,,,,,,,,,,,,,,,,,,,
,,2.15272,A4_24,0.02,,,,,,,,,,,,,,,,,,,,
,,2.15488,D3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,2.15536,A4_42,0.025,,,,,,,,,,,,,,,,,,,,
,,2.15568,B5_22,0.024,,,,,,,,,,,,,,,,,,,,
,,2.17048,B5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,2.1728,B1_12,0.019,,,,,,,,,,,,,,,,,,,,
,,2.18072,B1_12,0.033,,,,,,,,,,,,,,,,,,,,
,,2.18368,C2_11,0.014,,,,,,,,,,,,,,,,,,,,
,,2.18712,B3_32,0.021,,,,,,,,,,,,,,,,,,,,
,,2.18936,B1_12,0.018,,,,,,,,,,,,,,,,,,,,
,,2.20024,D2_31,0.017,,,,,,,,,,,,,,,,,,,,
,,2.20176,B5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,2.2028,D3_12,0.019,,,,,,,,,,,,,,,,,,,,
,,2.20688,A5_31,0.013,,,,,,,,,,,,,,,,,,,,
,,2.21536,A6_42,0.054,,,,,,,,,,,,,,,,,,,,
,,2.22144,D3_32,0.02,,,,,,,,,,,,,,,,,,,,
,,2.2332,A4_22,0.045,,,,,,,,,,,,,,,,,,,,
,,2.24568,A4_42,0.026,,,,,,,,,,,,,,,,,,,,
,,2.25544,D3_12,0.019,,,,,,,,,,,,,,,,,,,,
,,2.26616,B6_33,0.013,,,,,,,,,,,,,,,,,,,,
,,2.26768,B5_22,0.021,,,,,,,,,,,,,,,,,,,,
,,2.27176,B1_23,0.017,,,,,,,,,,,,,,,,,,,,
,,2.29288,D3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,2.31624,C2_11,0.012,,,,,,,,,,,,,,,,,,,,
,,2.34552,A6_22,0.019,,,,,,,,,,,,,,,,,,,,
,,2.35904,D2_42,0.018,,,,,,,,,,,,,,,,,,,,
,,2.36624,D3_12,0.019,,,,,,,,,,,,,,,,,,,,
,,2.36648,B4_14,0.025,,,,,,,,,,,,,,,,,,,,
,,2.36808,C1_22,0.018,,,,,,,,,,,,,,,,,,,,
,,2.37048,A6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,2.37544,B1_34,0.014,,,,,,,,,,,,,,,,,,,,
,,2.37784,B1_12,0.026,,,,,,,,,,,,,,,,,,,,
,,2.39192,B1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,2.40064,A5_33,0.012,,,,,,,,,,,,,,,,,,,,
,,2.40216,B1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,2.40536,B4_14,0.021,,,,,,,,,,,,,,,,,,,,
,,2.40912,C1_13,0.017,,,,,,,,,,,,,,,,,,,,
,,2.42384,B1_12,0.025,,,,,,,,,,,,,,,,,,,,
,,2.428,B1_34,0.017,,,,,,,,,,,,,,,,,,,,
,,2.43008,B1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,2.43512,B1_33,0.022,,,,,,,,,,,,,,,,,,,,
,,2.43528,B1_23,0.019,,,,,,,,,,,,,,,,,,,,
,,2.43576,B1_12,0.018,,,,,,,,,,,,,,,,,,,,
,,2.44024,B1_23,0.014,,,,,,,,,,,,,,,,,,,,
,,2.44176,A6_42,0.047,,,,,,,,,,,,,,,,,,,,
,,2.448,B1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,2.452,C1_32,0.014,,,,,,,,,,,,,,,,,,,,
,,2.45648,B1_23,0.02,,,,,,,,,,,,,,,,,,,,
,,2.45704,B4_14,0.021,,,,,,,,,,,,,,,,,,,,
,,2.46416,B1_23,0.017,,,,,,,,,,,,,,,,,,,,
,,2.4644,B1_22,0.016,,,,,,,,,,,,,,,,,,,,
,,2.47032,C1_42,0.016,,,,,,,,,,,,,,,,,,,,
,,2.47064,D3_43,0.018,,,,,,,,,,,,,,,,,,,,
,,2.47192,B1_23,0.015,,,,,,,,,,,,,,,,,,,,
,,2.47192,B1_34,0.018,,,,,,,,,,,,,,,,,,,,
,,2.47448,B1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,2.4756,B1_22,0.012,,,,,,,,,,,,,,,,,,,,
,,2.48008,B1_23,0.019,,,,,,,,,,,,,,,,,,,,
,,2.48024,B1_22,0.013,,,,,,,,,,,,,,,,,,,,
,,2.48648,B1_23,0.02,,,,,,,,,,,,,,,,,,,,
,,2.4868,B1_12,0.021,,,,,,,,,,,,,,,,,,,,
,,2.48776,B1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,2.49032,B1_23,0.012,,,,,,,,,,,,,,,,,,,,
,,2.49152,B1_33,0.014,,,,,,,,,,,,,,,,,,,,
,,2.49168,B1_14,0.017,,,,,,,,,,,,,,,,,,,,
,,2.49704,B1_12,0.027,,,,,,,,,,,,,,,,,,,,
,,2.50064,B1_34,0.02,,,,,,,,,,,,,,,,,,,,
,,2.502,B1_12,0.026,,,,,,,,,,,,,,,,,,,,
,,2.50344,B1_23,0.014,,,,,,,,,,,,,,,,,,,,
,,2.5044,B1_14,0.015,,,,,,,,,,,,,,,,,,,,
,,2.50592,B1_12,0.023,,,,,,,,,,,,,,,,,,,,
,,2.50728,B4_14,0.024,,,,,,,,,,,,,,,,,,,,
,,2.50808,B1_23,0.022,,,,,,,,,,,,,,,,,,,,
,,2.50872,B1_32,0.023,,,,,,,,,,,,,,,,,,,,
,,2.50968,B1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,2.51,B1_12,0.023,,,,,,,,,,,,,,,,,,,,
,,2.51112,B1_24,0.014,,,,,,,,,,,,,,,,,,,,
,,2.51248,B1_32,0.023,,,,,,,,,,,,,,,,,,,,
,,2.51376,B1_33,0.026,,,,,,,,,,,,,,,,,,,,
,,2.51664,B1_14,0.018,,,,,,,,,,,,,,,,,,,,
,,2.51664,B1_34,0.019,,,,,,,,,,,,,,,,,,,,
,,2.51712,B1_33,0.016,,,,,,,,,,,,,,,,,,,,
,,2.51744,B1_22,0.012,,,,,,,,,,,,,,,,,,,,
,,2.51752,B1_23,0.017,,,,,,,,,,,,,,,,,,,,
,,2.51856,B1_32,0.021,,,,,,,,,,,,,,,,,,,,
,,2.51904,B1_12,0.028,,,,,,,,,,,,,,,,,,,,
,,2.52008,B1_23,0.014,,,,,,,,,,,,,,,,,,,,
,,2.52288,B1_32,0.025,,,,,,,,,,,,,,,,,,,,
,,2.52344,B1_24,0.021,,,,,,,,,,,,,,,,,,,,
,,2.5276,B1_23,0.023,,,,,,,,,,,,,,,,,,,,
,,2.53088,D2_31,0.017,,,,,,,,,,,,,,,,,,,,
,,2.53328,B1_24,0.02,,,,,,,,,,,,,,,,,,,,
,,2.53384,B1_12,0.019,,,,,,,,,,,,,,,,,,,,
,,2.5344,B1_23,0.016,,,,,,,,,,,,,,,,,,,,
,,2.53576,B1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,2.53712,B1_22,0.016,,,,,,,,,,,,,,,,,,,,
,,2.53944,B1_33,0.025,,,,,,,,,,,,,,,,,,,,
,,2.54,B1_23,0.02,,,,,,,,,,,,,,,,,,,,
,,2.5404,A5_32,0.016,,,,,,,,,,,,,,,,,,,,
,,2.54096,B1_34,0.025,,,,,,,,,,,,,,,,,,,,
,,2.542,D3_22,0.025,,,,,,,,,,,,,,,,,,,,
,,2.54232,B1_32,0.034,,,,,,,,,,,,,,,,,,,,
,,2.54328,B1_12,0.018,,,,,,,,,,,,,,,,,,,,
,,2.54336,B1_23,0.016,,,,,,,,,,,,,,,,,,,,
,,2.54456,D3_43,0.013,,,,,,,,,,,,,,,,,,,,
,,2.54624,B1_14,0.016,,,,,,,,,,,,,,,,,,,,
,,2.54688,B1_33,0.018,,,,,,,,,,,,,,,,,,,,
,,2.54816,B1_24,0.02,,,,,,,,,,,,,,,,,,,,
,,2.55144,B1_12,0.022,,,,,,,,,,,,,,,,,,,,
,,2.55192,A4_22,0.026,,,,,,,,,,,,,,,,,,,,
,,2.55312,B1_22,0.013,,,,,,,,,,,,,,,,,,,,
,,2.55336,B1_23,0.014,,,,,,,,,,,,,,,,,,,,
,,2.55392,B1_14,0.017,,,,,,,,,,,,,,,,,,,,
,,2.55416,B1_32,0.024,,,,,,,,,,,,,,,,,,,,
,,2.56072,B1_23,0.021,,,,,,,,,,,,,,,,,,,,
,,2.56112,B1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,2.56112,B1_32,0.019,,,,,,,,,,,,,,,,,,,,
,,2.56208,B1_24,0.024,,,,,,,,,,,,,,,,,,,,
,,2.56312,B1_23,0.027,,,,,,,,,,,,,,,,,,,,
,,2.56328,B1_42,0.013,,,,,,,,,,,,,,,,,,,,
,,2.56688,C1_23,0.024,,,,,,,,,,,,,,,,,,,,
,,2.56736,B1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,2.5684,B1_24,0.029,,,,,,,,,,,,,,,,,,,,
,,2.57056,B1_33,0.023,,,,,,,,,,,,,,,,,,,,
,,2.57136,B1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,2.57592,B1_22,0.019,,,,,,,,,,,,,,,,,,,,
,,2.57592,B1_33,0.021,,,,,,,,,,,,,,,,,,,,
,,2.57712,B1_23,0.023,,,,,,,,,,,,,,,,,,,,
,,2.58424,B1_12,0.018,,,,,,,,,,,,,,,,,,,,
,,2.586,B1_24,0.024,,,,,,,,,,,,,,,,,,,,
,,2.5876,B1_23,0.016,,,,,,,,,,,,,,,,,,,,
,,2.58792,B1_12,0.02,,,,,,,,,,,,,,,,,,,,
,,2.59208,B1_23,0.013,,,,,,,,,,,,,,,,,,,,
,,2.59384,B1_32,0.022,,,,,,,,,,,,,,,,,,,,
,,2.59448,B1_23,0.021,,,,,,,,,,,,,,,,,,,,
,,2.59464,B1_33,0.016,,,,,,,,,,,,,,,,,,,,
,,2.59536,B1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,2.59816,B1_24,0.02,,,,,,,,,,,,,,,,,,,,
,,2.60056,B1_33,0.017,,,,,,,,,,,,,,,,,,,,
,,2.60272,B1_24,0.023,,,,,,,,,,,,,,,,,,,,
,,2.6036,B1_23,0.018,,,,,,,,,,,,,,,,,,,,
,,2.6044,B1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,2.6048,B1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,2.61072,B1_24,0.014,,,,,,,,,,,,,,,,,,,,
,,2.61088,D3_34,0.015,,,,,,,,,,,,,,,,,,,,
,,2.61152,B1_14,0.018,,,,,,,,,,,,,,,,,,,,
,,2.61424,B1_32,0.023,,,,,,,,,,,,,,,,,,,,
,,2.61792,B1_23,0.023,,,,,,,,,,,,,,,,,,,,
,,2.618,B1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,2.62024,B1_23,0.017,,,,,,,,,,,,,,,,,,,,
,,2.62072,B1_34,0.019,,,,,,,,,,,,,,,,,,,,
,,2.62256,B1_23,0.017,,,,,,,,,,,,,,,,,,,,
,,2.62472,B1_14,0.016,,,,,,,,,,,,,,,,,,,,
,,2.62696,B1_23,0.017,,,,,,,,,,,,,,,,,,,,
,,2.628,B1_24,0.014,,,,,,,,,,,,,,,,,,,,
,,2.62808,B1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,2.62952,B1_14,0.022,,,,,,,,,,,,,,,,,,,,
,,2.63048,B1_24,0.024,,,,,,,,,,,,,,,,,,,,
,,2.63168,B1_22,0.014,,,,,,,,,,,,,,,,,,,,
