Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,12.62176,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,12.64568,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,12.69888,C4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,12.72384,A5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,12.73584,A5_11,0.017,,,,,,,,,,,,,,,,,,,,
,,12.79272,A4_12,0.015,,,,,,,,,,,,,,,,,,,,
,,12.79544,B1_31,0.016,,,,,,,,,,,,,,,,,,,,
,,12.95792,B1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,13.2624,A4_13,0.014,,,,,,,,,,,,,,,,,,,,
,,13.27656,A5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,13.37256,A5_11,0.017,,,,,,,,,,,,,,,,,,,,
,,13.45624,A5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,13.46184,A5_22,0.012,,,,,,,,,,,,,,,,,,,,
,,13.468,D6_33,0.017,,,,,,,,,,,,,,,,,,,,
,,13.51256,A5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,13.70496,B3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,13.724,B2_13,0.019,,,,,,,,,,,,,,,,,,,,
,,13.72656,B2_13,0.036,,,,,,,,,,,,,,,,,,,,
,,13.77368,B1_14,0.012,,,,,,,,,,,,,,,,,,,,
,,13.8604,D6_33,0.015,,,,,,,,,,,,,,,,,,,,
,,13.92808,C3_11,0.012,,,,,,,,,,,,,,,,,,,,
,,14.04776,B1_32,0.014,,,,,,,,,,,,,,,,,,,,
,,14.08056,A5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,14.15112,B4_43,0.04,,,,,,,,,,,,,,,,,,,,
,,14.18576,B3_11,0.021,,,,,,,,,,,,,,,,,,,,
,,14.25648,A4_21,0.02,,,,,,,,,,,,,,,,,,,,
,,14.368,B1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,14.73384,D6_32,0.016,,,,,,,,,,,,,,,,,,,,
,,14.76544,B1_31,0.01,,,,,,,,,,,,,,,,,,,,
,,14.79512,A5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,14.8128,D1_33,0.015,,,,,,,,,,,,,,,,,,,,
,,14.85128,D6_11,0.012,,,,,,,,,,,,,,,,,,,,
,,15.03984,D4_11,0.015,,,,,,,,,,,,,,,,,,,,
,,15.07312,A5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,15.098,A4_21,0.019,,,,,,,,,,,,,,,,,,,,
,,15.1044,A5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,15.18944,D1_33,0.015,,,,,,,,,,,,,,,,,,,,
,,15.22544,B1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,15.29064,C3_22,0.011,,,,,,,,,,,,,,,,,,,,
,,15.374,A4_21,0.017,,,,,,,,,,,,,,,,,,,,
,,15.4308,B3_21,0.016,,,,,,,,,,,,,,,,,,,,
,,15.43976,A5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,15.76536,B3_34,0.016,,,,,,,,,,,,,,,,,,,,
,,15.91512,D6_21,0.017,,,,,,,,,,,,,,,,,,,,
,,15.96488,A5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,16.09008,A4_13,0.015,,,,,,,,,,,,,,,,,,,,
,,16.14304,A4_13,0.016,,,,,,,,,,,,,,,,,,,,
,,16.16088,B3_13,0.013,,,,,,,,,,,,,,,,,,,,
,,16.17128,A4_13,0.016,,,,,,,,,,,,,,,,,,,,
,,16.19848,A4_13,0.016,,,,,,,,,,,,,,,,,,,,
,,16.23624,A4_13,0.014,,,,,,,,,,,,,,,,,,,,
,,16.26896,A4_13,0.016,,,,,,,,,,,,,,,,,,,,
,,16.31112,A4_13,0.013,,,,,,,,,,,,,,,,,,,,
,,16.31408,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,16.31656,A4_13,0.016,,,,,,,,,,,,,,,,,,,,
,,16.33256,A4_21,0.027,,,,,,,,,,,,,,,,,,,,
,,16.33424,D6_33,0.018,,,,,,,,,,,,,,,,,,,,
,,16.3592,A4_13,0.015,,,,,,,,,,,,,,,,,,,,
,,16.40424,B3_34,0.015,,,,,,,,,,,,,,,,,,,,
,,16.40448,A4_44,0.017,,,,,,,,,,,,,,,,,,,,
,,16.41552,A4_13,0.018,,,,,,,,,,,,,,,,,,,,
,,16.45864,B3_32,0.014,,,,,,,,,,,,,,,,,,,,
,,16.4656,A4_13,0.018,,,,,,,,,,,,,,,,,,,,
,,16.4696,D1_33,0.012,,,,,,,,,,,,,,,,,,,,
,,16.53576,A4_13,0.017,,,,,,,,,,,,,,,,,,,,
,,16.71144,A5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,16.77072,C4_12,0.011,,,,,,,,,,,,,,,,,,,,
,,17.02408,A5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,17.02592,B3_33,0.021,,,,,,,,,,,,,,,,,,,,
,,17.14944,D6_32,0.015,,,,,,,,,,,,,,,,,,,,
,,17.27544,D3_32,0.012,,,,,,,,,,,,,,,,,,,,
,,17.57408,D6_32,0.014,,,,,,,,,,,,,,,,,,,,
,,17.6788,B1_43,0.01,,,,,,,,,,,,,,,,,,,,
,,17.69552,B1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,17.73848,D3_22,0.016,,,,,,,,,,,,,,,,,,,,
,,17.76744,B1_11,0.013,,,,,,,,,,,,,,,,,,,,
,,17.85,A4_13,0.015,,,,,,,,,,,,,,,,,,,,
,,18.14608,B1_43,0.01,,,,,,,,,,,,,,,,,,,,
,,18.20704,B1_14,0.013,,,,,,,,,,,,,,,,,,,,
,,18.24608,C4_14,0.014,,,,,,,,,,,,,,,,,,,,
,,18.29008,B1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,18.49336,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
