Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,0.7976,C1_11,0.056
,,0.80032,C1_31,0.039
,,0.80264,C5_33,0.017
,,0.80432,C2_22,0.043
,,0.80808,C3_33,0.094
,,0.82176,C2_31,0.038
,,0.82408,C2_33,0.049
,,0.82608,C1_11,0.043
,,0.82992,C2_23,0.038
,,0.83032,C3_32,0.03
,,0.83552,C2_33,0.16
,,0.83944,C2_44,0.029
,,0.84712,C2_22,0.04
,,0.84808,C5_33,0.018
,,0.84864,C2_31,0.047
,,0.84952,C1_41,0.023
,,0.85168,C2_43,0.024
,,0.85488,C1_22,0.044
,,0.85768,C5_31,0.026
,,0.86096,C2_33,0.036
,,0.86104,C3_32,0.034
,,0.8636,C1_22,0.034
,,0.86424,C2_31,0.045
,,0.86888,C3_33,0.037
,,0.87,C5_33,0.023
,,0.87312,C3_32,0.058
,,0.87456,C4_21,0.014
,,0.87592,C5_42,0.025
,,0.87696,C3_32,0.038
,,0.87848,C2_33,0.059
,,0.87992,C1_11,0.028
,,0.88288,C4_21,0.023
,,0.88736,C1_31,0.029
,,0.8932,C4_33,0.028
,,0.8944,C3_42,0.035
,,0.89624,C2_31,0.063
,,0.90008,C2_31,0.036
,,0.90072,C1_33,0.02
,,0.90296,C6_42,0.026
,,0.90408,C2_22,0.027
,,0.90584,C2_31,0.058
,,0.90648,C6_42,0.019
,,0.90888,C3_32,0.045
,,0.91304,C3_31,0.029
,,0.9208,C2_32,0.042
,,0.92296,C2_42,0.038
,,0.92312,C1_43,0.026
,,0.92344,C2_32,0.043
,,0.92432,C1_21,0.031
,,0.92544,C1_22,0.034
,,0.9272,C4_33,0.036
,,0.92728,C1_41,0.029
,,0.9304,C3_31,0.023
,,0.93064,C6_42,0.026
,,0.93152,C3_41,0.02
,,0.93248,C2_23,0.029
,,0.93464,C5_33,0.023
,,0.9376,C1_43,0.021
,,0.94384,C2_23,0.022
,,0.944,C1_22,0.031
,,0.9496,C2_33,0.041
,,0.95768,C5_33,0.021
,,0.9672,C2_33,0.035
,,0.96728,C1_11,0.025
,,0.97064,C1_11,0.026
,,0.97456,C2_32,0.037
,,0.97456,C2_33,0.043
,,0.97496,C3_33,0.045
,,0.97648,C2_31,0.043
,,0.97672,C1_32,0.025
,,0.97824,C2_23,0.027
,,0.98352,C2_23,0.021
,,0.98744,C3_42,0.026
,,0.9876,C5_33,0.02
,,0.99256,C3_42,0.03
,,0.99424,C1_42,0.058
,,0.99504,C3_41,0.012
,,0.99576,C3_32,0.113
,,0.99928,C3_33,0.057
,,1.00312,C1_21,0.057
,,1.00608,C4_33,0.027
,,1.00824,C1_41,0.015
,,1.0104,C4_33,0.027
,,1.01224,C4_23,0.022
,,1.01272,C1_11,0.052
,,1.01496,C2_43,0.032
,,1.01552,C1_22,0.049
,,1.01592,C2_23,0.061
,,1.01848,C1_22,0.06
,,1.02088,C1_41,0.017
,,1.02552,C1_11,0.032
,,1.02672,C4_14,0.02
,,1.03704,C5_33,0.026
,,1.03872,C6_31,0.048
,,1.04256,C2_31,0.055
,,1.05184,C5_33,0.022
,,1.05312,C1_41,0.017
,,1.05416,C1_31,0.033
,,1.05672,C6_31,0.02
,,1.05776,C1_31,0.025
,,1.05824,C3_43,0.043
,,1.0616,C1_11,0.018
,,1.06312,C4_14,0.019
,,1.066,C3_33,0.056
