Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,10.17576,C5_33,0.011
,,10.24248,C5_42,0.043
,,10.25056,C5_43,0.027
,,10.26904,C1_43,0.02
,,10.2936,C3_42,0.011
,,10.29616,C2_23,0.021
,,10.30152,C5_43,0.025
,,10.31448,C6_22,0.023
,,10.32936,C5_43,0.028
,,10.34376,C5_32,0.057
,,10.3544,C5_42,0.042
,,10.40568,C2_23,0.029
,,10.4092,C5_42,0.055
,,10.41608,C3_33,0.04
,,10.45024,C5_32,0.04
,,10.46408,C5_32,0.031
,,10.47064,C5_42,0.055
,,10.48648,C5_32,0.052
,,10.48664,C1_43,0.021
,,10.49944,C2_23,0.018
,,10.50128,C3_13,0.034
,,10.5036,C1_43,0.02
,,10.51888,C5_42,0.035
,,10.59816,C5_43,0.025
,,10.60368,C1_43,0.018
,,10.61912,C3_42,0.021
,,10.62976,C1_44,0.014
,,10.69464,C6_22,0.027
,,10.73856,C5_42,0.028
,,10.77384,C1_43,0.02
,,10.79296,C2_34,0.017
,,10.83296,C1_43,0.02
,,10.84904,C2_23,0.025
,,10.86248,C2_23,0.018
,,10.87352,C5_32,0.043
,,10.92576,C5_42,0.03
,,10.94696,C5_42,0.027
,,10.95144,C1_43,0.015
,,10.97048,C5_32,0.03
,,10.97296,C5_42,0.036
,,10.98576,C5_42,0.023
,,10.98928,C6_22,0.023
,,11.01376,C3_13,0.039
,,11.02904,C1_43,0.018
,,11.054,C3_13,0.034
,,11.06104,C5_32,0.044
,,11.12352,C3_33,0.023
,,11.1596,C5_42,0.035
,,11.17248,C5_43,0.038
,,11.20648,C5_32,0.051
,,11.20736,C5_43,0.059
,,11.21888,C5_43,0.027
,,11.2348,C1_43,0.025
,,11.26352,C2_23,0.02
,,11.27672,C5_32,0.046
,,11.314,C5_43,0.029
,,11.3224,C2_23,0.029
,,11.33608,C6_22,0.044
,,11.36072,C5_42,0.042
,,11.36608,C1_44,0.016
,,11.40664,C5_42,0.033
,,11.4512,C5_42,0.037
,,11.46736,C1_43,0.017
,,11.47672,C1_33,0.019
,,11.516,C1_43,0.026
,,11.52184,C2_23,0.017
,,11.55312,C5_32,0.046
,,11.5572,C2_23,0.02
,,11.58064,C5_43,0.024
,,11.58288,C5_42,0.046
,,11.61696,C3_42,0.018
,,11.63312,C1_43,0.017
,,11.65568,C5_42,0.039
,,11.71952,C2_23,0.021
,,11.72488,C2_32,0.016
,,11.74392,C1_43,0.022
,,11.77088,C5_43,0.066
,,11.78152,C3_33,0.027
,,11.79048,C1_43,0.023
,,11.80528,C2_23,0.029
,,11.81728,C5_42,0.039
,,11.82544,C5_32,0.054
,,11.85776,C6_22,0.031
,,11.87,C5_42,0.029
,,11.90512,C1_43,0.018
