Investigator,Ghislaine,,,,Time (s),Electrode,Amplitude(mV)
,,,,,11.08272,C3_32,0.033
,,,,,11.08272,C3_42,0.058
,,,,,11.08296,C3_31,0.04
,,,,,11.08384,C3_43,0.089
,,,,,11.08392,C3_33,0.038
,,,,,11.08448,C3_44,0.021
,,,,,11.08528,C3_31,0.034
,,,,,11.08528,C3_32,0.024
,,,,,11.08608,C3_42,0.064
,,,,,11.08688,C3_33,0.033
,,,,,11.08696,C3_43,0.02
,,,,,11.0876,C3_32,0.038
,,,,,11.08768,C3_31,0.046
,,,,,11.08792,C3_41,0.019
,,,,,11.08848,C3_42,0.075
,,,,,11.08912,C3_33,0.06
,,,,,11.08944,C3_43,0.061
,,,,,11.0896,C3_44,0.033
,,,,,11.09048,C3_32,0.047
,,,,,11.09112,C3_42,0.107
,,,,,11.09176,C3_33,0.058
,,,,,11.09192,C3_43,0.025
,,,,,11.09248,C3_31,0.043
,,,,,11.09272,C3_32,0.033
,,,,,11.09312,C3_44,0.03
,,,,,11.09368,C3_42,0.051
,,,,,11.09424,C3_33,0.032
,,,,,11.09448,C3_41,0.019
,,,,,11.09488,C3_31,0.063
,,,,,11.09568,C3_32,0.048
,,,,,11.09616,C3_42,0.049
,,,,,11.09712,C3_33,0.019
,,,,,11.0972,C3_31,0.024
,,,,,11.098,C3_44,0.1
,,,,,11.09952,C3_43,0.034
,,,,,11.09984,C3_33,0.018
,,,,,11.1,C3_31,0.03
,,,,,11.10016,C3_32,0.022
,,,,,11.10264,C3_33,0.022
,,,,,11.10288,C3_41,0.014
,,,,,11.10352,C3_32,0.033
,,,,,11.10384,C3_31,0.085
,,,,,11.10392,C3_42,0.088
,,,,,11.10432,C3_43,0.017
,,,,,11.10624,C3_31,0.033
,,,,,11.10632,C3_44,0.025
,,,,,11.10648,C3_32,0.106
,,,,,11.10648,C3_42,0.048
,,,,,11.10672,C3_33,0.026
,,,,,11.10712,C3_43,0.033
,,,,,11.1088,C3_31,0.022
,,,,,11.1088,C3_42,0.039
,,,,,11.1092,C3_41,0.01
,,,,,11.10968,C3_32,0.037
,,,,,11.10976,C3_43,0.061
,,,,,11.11,C3_33,0.085
,,,,,11.11056,C3_44,0.029
,,,,,11.11232,C3_43,0.092
,,,,,11.11288,C3_33,0.032
,,,,,11.1132,C3_41,0.015
,,,,,11.114,C3_42,0.023
,,,,,11.11432,C3_44,0.023
,,,,,11.11472,C3_31,0.033
,,,,,11.11664,C3_42,0.014
,,,,,11.118,C3_33,0.038
,,,,,11.11832,C3_44,0.019
,,,,,11.11936,C3_42,0.044
,,,,,11.11976,C3_31,0.019
,,,,,11.12136,C3_32,0.025
,,,,,11.12136,C3_33,0.021
,,,,,11.12256,C3_43,0.019
,,,,,11.12424,C3_32,0.023
,,,,,11.12672,C3_41,0.012
,,,,,11.12824,C3_44,0.02
,,,,,11.1284,C3_32,0.021
,,,,,11.13096,C3_31,0.029
,,,,,11.13152,C3_33,0.017
,,,,,11.13248,C3_44,0.017
,,,,,11.13272,C3_42,0.033
,,,,,11.13336,C3_31,0.034
,,,,,11.14016,C3_31,0.032
,,,,,11.15368,C3_31,0.021
,,,,,11.18168,C3_31,0.018
