Investigator,Ghislaine,,,,Time (s),Electrode,Amplitude(mV)
,,,,,298.89952,C2_12,0.041
,,,,,298.89976,C2_13,0.028
,,,,,298.90016,C2_22,0.034
,,,,,298.91664,C2_23,0.03
,,,,,299.03064,C3_41,0.011
,,,,,299.28488,C2_31,0.031
,,,,,299.73,C2_41,0.022
,,,,,299.73024,C2_22,0.064
,,,,,300.2236,C3_33,0.021
,,,,,300.22592,C3_33,0.016
,,,,,300.23848,C3_33,0.018
,,,,,300.254,C3_33,0.018
,,,,,300.25672,C3_31,0.023
,,,,,300.26472,C3_32,0.016
,,,,,300.27672,C3_32,0.018
,,,,,300.30016,C3_32,0.017
,,,,,300.31432,C3_32,0.017
,,,,,300.37976,C3_31,0.017
,,,,,300.51064,C3_32,0.016
,,,,,300.5752,C5_13,0.038
,,,,,300.61152,C5_32,0.026
,,,,,300.61672,C3_41,0.012
,,,,,300.634,C5_14,0.015
,,,,,300.6636,C3_32,0.016
,,,,,300.67008,C5_32,0.023
,,,,,300.68792,C5_14,0.017
,,,,,300.7136,C5_44,0.022
,,,,,300.75128,C5_44,0.03
,,,,,300.75392,C3_33,0.013
,,,,,300.76976,C5_23,0.024
,,,,,300.77216,C5_44,0.022
,,,,,300.77288,C3_31,0.022
,,,,,300.78928,C5_44,0.02
,,,,,300.81416,C3_43,0.062
,,,,,300.81432,C3_33,0.066
,,,,,300.81488,C3_32,0.034
,,,,,300.83912,C3_42,0.02
,,,,,300.84024,C5_34,0.016
,,,,,300.87568,C3_32,0.016
,,,,,300.88488,C5_34,0.015
,,,,,300.894,C3_42,0.014
,,,,,300.97736,C5_44,0.021
,,,,,300.98864,C5_34,0.016
,,,,,301.10424,C5_44,0.021
,,,,,301.12656,C3_32,0.015
,,,,,301.14352,C5_44,0.019
,,,,,301.18488,C5_44,0.02
,,,,,301.21576,C3_32,0.016
,,,,,301.2288,C5_44,0.02
,,,,,301.2364,C3_43,0.015
,,,,,301.24448,C3_33,0.015
,,,,,301.26856,C5_34,0.016
,,,,,301.28432,C5_44,0.021
,,,,,301.302,C5_23,0.017
,,,,,301.33856,C5_34,0.016
,,,,,301.34696,C2_22,0.017
,,,,,301.40552,C5_44,0.018
,,,,,301.44168,C5_34,0.014
,,,,,301.49776,C5_44,0.022
,,,,,301.61744,C2_22,0.015
,,,,,301.64696,C3_31,0.018
,,,,,301.65632,C1_12,0.013
,,,,,301.66736,C5_34,0.016
,,,,,301.75936,C2_23,0.015
,,,,,301.7916,C5_44,0.022
,,,,,301.80144,C5_32,0.023
,,,,,301.81832,C5_34,0.016
,,,,,301.828,C5_44,0.02
,,,,,301.83064,C2_12,0.015
,,,,,301.84744,C2_31,0.05
,,,,,301.8776,C2_43,0.026
,,,,,301.9132,C2_43,0.023
,,,,,301.92792,C5_44,0.02
,,,,,301.96912,C2_41,0.02
,,,,,301.9696,C2_22,0.063
,,,,,301.9868,C4_32,0.023
,,,,,301.98752,C4_34,0.028
,,,,,301.99512,C2_22,0.018
,,,,,302.01528,C5_44,0.021
,,,,,302.03128,C4_11,0.031
,,,,,302.03736,C2_41,0.02
,,,,,302.03768,C2_22,0.066
,,,,,302.05016,C4_11,0.205
,,,,,302.05256,C4_11,0.026
,,,,,302.06552,C4_43,0.039
,,,,,302.06992,C4_32,0.024
,,,,,302.07712,C4_34,0.031
,,,,,302.08704,C4_11,0.04
,,,,,302.11464,C4_14,0.018
,,,,,302.11512,C4_32,0.027
,,,,,302.13808,C4_14,0.022
,,,,,302.20224,C4_11,0.029
,,,,,302.214,C6_24,0.026
,,,,,302.21456,C4_11,0.207
,,,,,302.22016,C4_14,0.024
,,,,,302.24936,C4_34,0.047
,,,,,302.26976,C4_13,0.013
,,,,,302.2712,C4_42,0.028
,,,,,302.29104,C4_14,0.025
,,,,,302.3364,C4_32,0.019
,,,,,302.3444,C4_31,0.021
,,,,,302.34664,C4_14,0.028
,,,,,302.34776,C4_11,0.025
,,,,,302.35232,C4_11,0.213
,,,,,302.3536,C4_34,0.03
,,,,,302.3548,C4_11,0.023
,,,,,302.358,C4_11,0.03
,,,,,302.3976,C4_34,0.04
,,,,,302.43424,C4_21,0.02
,,,,,302.4456,C4_14,0.018
,,,,,302.44832,C4_31,0.026
,,,,,302.45968,C4_23,0.027
,,,,,302.46168,C4_42,0.025
,,,,,302.46216,C4_43,0.039
,,,,,302.46288,C4_32,0.024
,,,,,302.46472,C4_11,0.039
,,,,,302.46512,C4_31,0.032
,,,,,302.47072,C4_11,0.21
,,,,,302.48048,C3_33,0.021
,,,,,302.49752,C3_33,0.019
,,,,,302.51496,C3_32,0.027
,,,,,302.52024,C4_14,0.021
,,,,,302.52392,C4_31,0.033
,,,,,302.52752,C3_32,0.014
,,,,,302.54296,C4_32,0.022
,,,,,302.5448,C3_32,0.024
,,,,,302.55104,C4_34,0.037
,,,,,302.5564,C2_22,0.017
,,,,,302.56776,C5_32,0.025
,,,,,302.58136,C4_23,0.016
,,,,,302.5964,C4_12,0.018
,,,,,302.62384,C3_44,0.018
,,,,,302.65736,C1_34,0.015
,,,,,302.65792,C4_11,0.035
,,,,,302.73104,C4_11,0.199
,,,,,302.73128,C4_12,0.021
,,,,,302.74792,C4_11,0.196
,,,,,302.76032,C4_43,0.038
,,,,,302.86368,C4_31,0.021
,,,,,302.94032,C4_11,0.206
,,,,,302.94264,C4_11,0.021
,,,,,302.94616,C4_14,0.026
,,,,,302.96144,C4_11,0.203
,,,,,302.9676,C4_14,0.024
,,,,,302.97664,C4_11,0.028
,,,,,302.98336,C4_12,0.02
,,,,,302.99056,C4_42,0.032
,,,,,303.00248,C4_11,0.039
,,,,,303.01048,C4_34,0.054
,,,,,303.02152,C4_14,0.023
,,,,,303.07176,C2_22,0.016
,,,,,303.2136,C4_11,0.193
,,,,,303.26648,C4_14,0.023
,,,,,303.2832,C4_34,0.038
,,,,,303.57328,C4_11,0.202
,,,,,303.57552,C4_11,0.02
,,,,,303.57928,C4_14,0.02
,,,,,303.60816,C4_11,0.203
,,,,,303.62216,C4_24,0.025
,,,,,303.72376,C2_12,0.015
,,,,,303.74768,C4_11,0.032
,,,,,303.92848,C3_31,0.015
,,,,,304.07632,C3_31,0.018
,,,,,304.1188,C3_31,0.016
,,,,,304.15928,C3_31,0.016
,,,,,304.21984,C3_31,0.016
,,,,,304.62216,C3_33,0.015
,,,,,304.72696,C1_12,0.013
,,,,,304.98344,C2_32,0.018
,,,,,305.28752,C3_31,0.013
,,,,,305.36664,C5_13,0.034
,,,,,305.39352,C6_42,0.024
,,,,,305.45416,C5_32,0.017
,,,,,305.492,C5_44,0.017
,,,,,305.52544,C6_42,0.022
,,,,,305.59656,C3_31,0.016
,,,,,305.61192,C6_42,0.019
,,,,,305.62688,C5_23,0.034
,,,,,305.65216,C6_12,0.04
,,,,,305.67232,C6_42,0.019
,,,,,305.69912,C5_23,0.025
,,,,,305.71368,C5_13,0.029
,,,,,305.72928,C6_42,0.019
,,,,,305.77304,C6_42,0.017
,,,,,305.82432,C6_42,0.016
,,,,,305.8612,C6_42,0.023
,,,,,305.90112,C6_42,0.017
,,,,,305.95136,C6_42,0.021
,,,,,305.99616,C6_42,0.019
,,,,,306.03512,C6_42,0.021
,,,,,306.06784,C3_31,0.016
,,,,,306.08184,C6_42,0.022
,,,,,306.1324,C6_42,0.022
,,,,,306.17912,C6_42,0.02
,,,,,306.2368,C6_42,0.019
,,,,,306.31976,C6_42,0.016
,,,,,306.39784,C6_42,0.019
,,,,,306.5556,C6_42,0.02
,,,,,306.75848,C6_42,0.02
,,,,,306.89008,C6_42,0.018
,,,,,307.00264,C6_42,0.021
,,,,,307.10024,C6_42,0.017
,,,,,307.32264,C3_33,0.01
,,,,,307.42984,C5_23,0.02
,,,,,307.76976,C1_34,0.018
,,,,,307.9064,C5_32,0.027
,,,,,307.99928,C1_34,0.015
,,,,,308.02472,C6_33,0.019
,,,,,308.06408,C2_44,0.044
,,,,,308.09544,C2_44,0.036
,,,,,308.11328,C2_44,0.018
,,,,,308.19776,C5_13,0.031
,,,,,308.4568,C5_14,0.017
,,,,,308.4572,C5_23,0.027
,,,,,308.54536,C5_13,0.031
,,,,,308.92584,C2_34,0.019
,,,,,308.93712,C6_33,0.022
,,,,,308.95168,C2_31,0.05
,,,,,308.95456,C2_42,0.02
,,,,,308.95488,C2_43,0.025
,,,,,308.95688,C2_24,0.029
,,,,,308.96936,C2_42,0.023
,,,,,308.96952,C2_43,0.029
,,,,,308.97168,C2_24,0.033
,,,,,308.97872,C2_31,0.048
,,,,,308.99576,C2_43,0.018
,,,,,309,C5_32,0.022
,,,,,309.00888,C2_43,0.023
,,,,,309.012,C2_22,0.017
,,,,,309.0184,C2_12,0.02
,,,,,309.07944,C2_13,0.014
,,,,,309.08,C2_12,0.049
,,,,,309.08232,C2_12,0.013
,,,,,309.10976,C3_44,0.02
,,,,,309.12368,C2_42,0.018
,,,,,309.12648,C2_12,0.018
,,,,,309.15608,C2_43,0.024
,,,,,309.15784,C2_31,0.042
,,,,,309.2396,C6_33,0.019
,,,,,309.24368,C2_43,0.015
,,,,,309.2528,C4_32,0.02
,,,,,309.2704,C2_43,0.026
,,,,,309.27792,C2_23,0.025
,,,,,309.3024,C4_11,0.023
,,,,,309.454,C2_43,0.021
,,,,,309.4896,C6_33,0.015
,,,,,309.53448,C2_12,0.037
,,,,,309.53512,C2_23,0.077
,,,,,309.53568,C2_13,0.021
,,,,,309.53576,C2_21,0.022
,,,,,309.53576,C2_22,0.041
,,,,,309.54384,C2_22,0.018
,,,,,309.5468,C2_23,0.029
,,,,,309.56952,C2_23,0.031
,,,,,309.57432,C2_23,0.075
,,,,,309.5744,C2_12,0.036
,,,,,309.57464,C2_13,0.033
,,,,,309.57496,C2_22,0.037
,,,,,309.5912,C6_33,0.02
,,,,,309.65008,C3_33,0.011
,,,,,309.68112,C2_23,0.029
,,,,,309.69368,C2_42,0.019
,,,,,309.694,C2_43,0.026
,,,,,309.69592,C2_24,0.035
,,,,,309.78096,C2_23,0.025
,,,,,310.5512,C2_32,0.016
,,,,,311.06624,C2_33,0.019
,,,,,311.1376,C2_33,0.024
,,,,,311.19048,C3_33,0.024
,,,,,311.19872,C3_33,0.017
,,,,,311.21296,C3_32,0.026
,,,,,311.21416,C3_43,0.017
,,,,,311.23072,C3_32,0.018
,,,,,311.23184,C3_31,0.019
,,,,,311.23448,C3_32,0.02
,,,,,311.23488,C3_43,0.015
,,,,,311.23824,C3_33,0.013
,,,,,311.23904,C3_32,0.016
,,,,,311.2492,C3_32,0.025
,,,,,311.25928,C3_43,0.016
,,,,,311.26232,C3_32,0.015
,,,,,311.28688,C3_32,0.015
,,,,,311.4236,C3_31,0.016
,,,,,311.45528,C3_33,0.066
,,,,,311.45552,C3_43,0.06
,,,,,311.45584,C3_32,0.032
,,,,,311.45824,C3_32,0.018
,,,,,311.51688,C3_33,0.017
,,,,,311.55752,C5_13,0.032
,,,,,311.70528,C5_14,0.018
,,,,,311.71624,C2_12,0.014
,,,,,311.74616,C2_22,0.019
,,,,,311.76416,C5_13,0.034
,,,,,311.79536,C5_23,0.031
,,,,,311.95544,C3_32,0.017
,,,,,311.99616,C2_22,0.02
,,,,,312.01576,C2_44,0.039
,,,,,312.04472,C2_44,0.029
,,,,,312.05784,C3_33,0.02
,,,,,312.06536,C2_44,0.014
,,,,,312.12016,C3_32,0.02
,,,,,312.13432,C3_31,0.02
,,,,,312.1352,C3_32,0.015
,,,,,312.14,C3_31,0.017
,,,,,312.14616,C3_31,0.019
,,,,,312.15104,C3_32,0.018
,,,,,312.15176,C3_33,0.016
,,,,,312.1604,C3_33,0.027
,,,,,312.16064,C3_32,0.032
,,,,,312.1708,C3_33,0.019
,,,,,312.17336,C3_41,0.011
,,,,,312.17432,C3_32,0.017
,,,,,312.17816,C3_31,0.017
,,,,,312.1784,C3_41,0.014
,,,,,312.18064,C3_41,0.012
,,,,,312.18104,C3_32,0.023
,,,,,312.1812,C3_42,0.029
,,,,,312.18128,C3_44,0.063
,,,,,312.18272,C3_43,0.091
,,,,,312.18328,C3_33,0.02
,,,,,312.18368,C3_42,0.022
,,,,,312.184,C3_41,0.008
,,,,,312.18512,C3_43,0.024
,,,,,312.18528,C3_32,0.042
,,,,,312.18576,C3_33,0.081
,,,,,312.18624,C3_44,0.023
,,,,,312.18632,C3_41,0.016
,,,,,312.18632,C3_42,0.042
,,,,,312.18768,C3_32,0.025
,,,,,312.1896,C3_44,0.096
,,,,,312.18976,C3_43,0.058
,,,,,312.19024,C3_42,0.03
,,,,,312.19032,C3_33,0.032
,,,,,312.19256,C3_44,0.02
,,,,,312.19304,C3_32,0.031
,,,,,312.19304,C3_33,0.041
,,,,,312.19304,C3_41,0.019
,,,,,312.194,C3_42,0.029
,,,,,312.1952,C3_34,0.01
,,,,,312.19528,C3_31,0.096
,,,,,312.19528,C3_32,0.035
,,,,,312.19536,C3_43,0.069
,,,,,312.19536,C3_44,0.028
,,,,,312.19544,C3_33,0.034
,,,,,312.19664,C3_42,0.04
,,,,,312.19728,C2_22,0.025
,,,,,312.19768,C3_31,0.041
,,,,,312.19816,C3_41,0.017
,,,,,312.19824,C3_32,0.03
,,,,,312.19824,C3_43,0.064
,,,,,312.1984,C3_33,0.026
,,,,,312.19952,C3_44,0.062
,,,,,312.19992,C3_42,0.05
,,,,,312.20024,C3_31,0.033
,,,,,312.20064,C3_32,0.024
,,,,,312.20072,C3_43,0.117
,,,,,312.2016,C3_33,0.044
,,,,,312.20168,C3_41,0.021
,,,,,312.20192,C3_44,0.041
,,,,,312.20224,C3_42,0.042
,,,,,312.20256,C3_31,0.041
,,,,,312.2032,C3_43,0.058
,,,,,312.20328,C3_32,0.055
,,,,,312.20392,C3_33,0.072
,,,,,312.20432,C3_44,0.071
,,,,,312.20448,C3_41,0.017
,,,,,312.20448,C3_42,0.071
,,,,,312.20488,C3_31,0.026
,,,,,312.20584,C3_32,0.034
,,,,,312.20592,C3_43,0.215
,,,,,312.2064,C3_33,0.044
,,,,,312.20664,C3_44,0.043
,,,,,312.20696,C3_22,0.013
,,,,,312.20712,C3_42,0.121
,,,,,312.20736,C3_31,0.061
,,,,,312.20736,C3_41,0.014
,,,,,312.20752,C3_34,0.011
,,,,,312.20824,C3_43,0.074
,,,,,312.20928,C3_33,0.061
,,,,,312.20928,C3_44,0.081
,,,,,312.20944,C3_42,0.045
,,,,,312.20952,C3_32,0.101
,,,,,312.2104,C3_31,0.032
,,,,,312.21072,C3_34,0.013
,,,,,312.21136,C3_43,0.132
,,,,,312.21144,C3_41,0.011
,,,,,312.21152,C3_33,0.086
,,,,,312.2116,C3_44,0.032
,,,,,312.21192,C3_32,0.042
,,,,,312.21216,C3_42,0.068
,,,,,312.21336,C3_31,0.031
,,,,,312.21392,C3_33,0.094
,,,,,312.21392,C3_43,0.086
,,,,,312.214,C3_41,0.011
,,,,,312.21424,C3_32,0.054
,,,,,312.21472,C3_42,0.041
,,,,,312.21528,C3_44,0.089
,,,,,312.216,C3_31,0.083
,,,,,312.21632,C3_33,0.05
,,,,,312.21632,C3_43,0.078
,,,,,312.2168,C3_32,0.038
,,,,,312.21744,C3_41,0.018
,,,,,312.21768,C3_42,0.077
,,,,,312.218,C3_44,0.03
,,,,,312.2188,C3_31,0.041
,,,,,312.21888,C3_43,0.072
,,,,,312.21912,C3_32,0.027
,,,,,312.21912,C3_33,0.088
,,,,,312.21984,C3_41,0.013
,,,,,312.22072,C3_42,0.071
,,,,,312.22128,C3_44,0.028
,,,,,312.22136,C3_33,0.063
,,,,,312.22136,C3_43,0.149
,,,,,312.22152,C3_31,0.023
,,,,,312.222,C3_32,0.059
,,,,,312.22248,C3_41,0.015
,,,,,312.2232,C3_42,0.059
,,,,,312.22368,C3_44,0.062
,,,,,312.22392,C3_33,0.036
,,,,,312.22408,C3_43,0.03
,,,,,312.2244,C3_31,0.029
,,,,,312.22456,C3_32,0.025
,,,,,312.22624,C3_41,0.017
,,,,,312.22632,C3_33,0.033
,,,,,312.2264,C3_42,0.024
,,,,,312.22656,C3_43,0.029
,,,,,312.22784,C3_32,0.018
,,,,,312.22816,C3_31,0.022
,,,,,312.22856,C3_33,0.09
,,,,,312.2292,C3_44,0.025
,,,,,312.22952,C3_43,0.055
,,,,,312.23008,C3_42,0.051
,,,,,312.23032,C3_41,0.014
,,,,,312.23064,C3_31,0.023
,,,,,312.23088,C3_32,0.029
,,,,,312.23128,C3_33,0.042
,,,,,312.23192,C3_44,0.028
,,,,,312.23264,C3_42,0.068
,,,,,312.23304,C3_43,0.07
,,,,,312.23312,C3_41,0.02
,,,,,312.234,C3_31,0.047
,,,,,312.23408,C3_33,0.041
,,,,,312.23456,C3_32,0.051
,,,,,312.23496,C3_42,0.045
,,,,,312.23552,C3_44,0.03
,,,,,312.23576,C3_43,0.039
,,,,,312.23592,C3_41,0.013
,,,,,312.2364,C3_31,0.041
,,,,,312.2364,C3_33,0.029
,,,,,312.2372,C3_42,0.048
,,,,,312.23744,C3_22,0.011
,,,,,312.2376,C2_22,0.016
,,,,,312.238,C3_32,0.035
,,,,,312.23808,C3_44,0.03
,,,,,312.23816,C3_41,0.017
,,,,,312.2384,C3_43,0.046
,,,,,312.2388,C3_33,0.064
,,,,,312.23912,C3_31,0.027
,,,,,312.23944,C3_42,0.13
,,,,,312.24032,C3_32,0.036
,,,,,312.24096,C3_43,0.067
,,,,,312.24128,C3_33,0.049
,,,,,312.242,C3_44,0.045
,,,,,312.24232,C3_42,0.039
,,,,,312.24264,C3_32,0.096
,,,,,312.24264,C3_41,0.018
,,,,,312.2428,C3_31,0.082
,,,,,312.24336,C3_43,0.074
,,,,,312.24368,C3_33,0.057
,,,,,312.24424,C3_44,0.046
,,,,,312.24512,C3_32,0.042
,,,,,312.24552,C3_31,0.06
,,,,,312.24608,C3_33,0.039
,,,,,312.2464,C3_43,0.056
,,,,,312.24648,C3_42,0.049
,,,,,312.24736,C3_32,0.033
,,,,,312.24784,C3_44,0.039
,,,,,312.24816,C3_31,0.036
,,,,,312.24848,C3_33,0.015
,,,,,312.24896,C3_41,0.014
,,,,,312.24968,C3_43,0.023
,,,,,312.25048,C3_32,0.02
,,,,,312.25056,C3_31,0.029
,,,,,312.25176,C3_33,0.024
,,,,,312.25192,C3_44,0.022
,,,,,312.25216,C3_43,0.16
,,,,,312.25328,C3_31,0.029
,,,,,312.25344,C3_42,0.039
,,,,,312.25432,C3_33,0.035
,,,,,312.25448,C3_32,0.051
,,,,,312.25464,C3_43,0.022
,,,,,312.25488,C3_44,0.032
,,,,,312.256,C3_31,0.022
,,,,,312.25672,C3_42,0.046
,,,,,312.25712,C3_43,0.066
,,,,,312.25728,C3_44,0.026
,,,,,312.25744,C3_33,0.018
,,,,,312.26024,C3_41,0.012
,,,,,312.26048,C3_31,0.054
,,,,,312.26112,C3_33,0.02
,,,,,312.26136,C3_32,0.056
,,,,,312.26184,C3_44,0.026
,,,,,312.26192,C3_42,0.036
,,,,,312.26264,C3_43,0.167
,,,,,312.26296,C3_31,0.038
,,,,,312.2684,C3_33,0.022
,,,,,312.26904,C3_32,0.026
,,,,,312.26952,C3_42,0.087
,,,,,312.26976,C3_31,0.101
,,,,,312.27128,C3_33,0.021
,,,,,312.27176,C3_44,0.025
,,,,,312.27208,C3_31,0.031
,,,,,312.27272,C3_41,0.011
,,,,,312.27464,C3_33,0.02
,,,,,312.2748,C3_42,0.041
,,,,,312.27512,C3_31,0.04
,,,,,312.27544,C3_43,0.039
,,,,,312.27624,C3_32,0.029
,,,,,312.27672,C3_44,0.077
,,,,,312.27888,C3_42,0.041
,,,,,312.27928,C3_33,0.013
,,,,,312.28016,C3_31,0.026
,,,,,312.2836,C3_42,0.028
,,,,,312.28544,C3_33,0.021
,,,,,312.28776,C3_32,0.022
,,,,,312.29056,C3_33,0.019
,,,,,312.29112,C3_43,0.018
,,,,,312.29224,C3_31,0.028
,,,,,312.29448,C3_33,0.042
,,,,,312.29544,C3_42,0.057
,,,,,312.29584,C3_32,0.02
,,,,,312.31832,C3_33,0.012
,,,,,312.31968,C3_31,0.027
,,,,,312.33008,C3_31,0.019
,,,,,312.33656,C3_33,0.012
,,,,,312.3488,C3_31,0.019
,,,,,312.34888,C3_42,0.049
,,,,,312.34936,C3_41,0.012
,,,,,312.3512,C3_32,0.024
,,,,,312.3856,C2_22,0.014
,,,,,312.42032,C3_43,0.014
,,,,,312.5484,C2_22,0.015
,,,,,312.54952,C3_31,0.021
,,,,,312.60576,C3_42,0.019
,,,,,312.70696,C3_42,0.018
,,,,,312.7408,C2_22,0.019
,,,,,312.79792,C3_31,0.021
,,,,,312.88152,C2_23,0.02
,,,,,312.88408,C2_13,0.012
,,,,,313.33744,C3_33,0.042
,,,,,313.33792,C3_43,0.036
,,,,,313.3608,C3_33,0.034
,,,,,313.3612,C3_31,0.031
,,,,,313.36128,C3_43,0.061
,,,,,313.36216,C3_42,0.034
,,,,,313.36264,C2_22,0.014
,,,,,314.30576,C5_44,0.018
,,,,,314.32776,C5_13,0.036
,,,,,314.3908,C5_32,0.019
,,,,,314.42,C3_33,0.038
,,,,,314.4204,C3_43,0.036
,,,,,314.42336,C3_41,0.009
,,,,,314.43976,C3_33,0.031
,,,,,314.44016,C3_31,0.028
,,,,,314.44024,C3_43,0.057
,,,,,314.44112,C3_42,0.029
,,,,,314.44288,C5_14,0.018
,,,,,314.60944,C5_23,0.034
,,,,,315.30288,C3_41,0.014
,,,,,315.30768,C3_31,0.019
,,,,,315.31632,C3_33,0.065
,,,,,315.31656,C3_43,0.065
,,,,,315.31688,C3_32,0.039
,,,,,315.31944,C3_33,0.041
,,,,,315.31984,C3_43,0.036
,,,,,315.32176,C3_33,0.037
,,,,,315.32224,C3_43,0.034
,,,,,315.34752,C3_33,0.03
,,,,,315.34808,C3_31,0.031
,,,,,315.34816,C3_43,0.059
,,,,,315.34952,C3_42,0.027
,,,,,315.67128,C3_42,0.015
,,,,,315.80752,C4_11,0.025
,,,,,316.02096,C3_33,0.039
,,,,,316.02136,C3_43,0.041
,,,,,316.02272,C3_32,0.017
,,,,,316.02416,C3_43,0.022
,,,,,316.04064,C3_33,0.033
,,,,,316.04104,C3_31,0.032
,,,,,316.0412,C3_43,0.054
,,,,,316.04248,C3_42,0.023
,,,,,316.29,C3_33,0.02
,,,,,316.31272,C3_32,0.035
,,,,,316.31488,C3_33,0.019
,,,,,316.3156,C3_32,0.017
,,,,,316.32592,C3_31,0.021
,,,,,316.33304,C3_32,0.016
,,,,,316.35584,C3_32,0.018
,,,,,316.37024,C3_32,0.017
,,,,,316.47864,C3_32,0.034
,,,,,316.48096,C3_32,0.013
,,,,,316.49216,C3_33,0.048
,,,,,316.49376,C3_43,0.062
,,,,,316.494,C3_32,0.04
,,,,,316.49752,C3_31,0.016
,,,,,316.5012,C1_12,0.014
,,,,,316.52672,C3_32,0.025
,,,,,316.5824,C3_33,0.034
,,,,,316.58288,C3_31,0.031
,,,,,316.58296,C3_43,0.058
,,,,,316.58424,C3_42,0.023
,,,,,316.58624,C3_31,0.016
,,,,,316.65696,C3_43,0.018
,,,,,316.66936,C3_33,0.041
,,,,,316.66976,C3_43,0.039
,,,,,316.67176,C3_32,0.019
,,,,,316.67216,C3_43,0.171
,,,,,316.6752,C3_43,0.02
,,,,,316.67768,C3_44,0.062
,,,,,316.69576,C3_31,0.016
,,,,,316.70008,C3_32,0.015
,,,,,317.06904,C3_31,0.02
,,,,,317.24128,C3_33,0.018
,,,,,317.27288,C3_32,0.026
,,,,,317.27728,C3_32,0.016
,,,,,317.28528,C1_12,0.019
,,,,,317.28664,C3_31,0.026
,,,,,317.34064,C3_42,0.021
,,,,,317.35776,C3_43,0.016
,,,,,317.45496,C3_33,0.041
,,,,,317.45544,C3_43,0.035
,,,,,317.45768,C3_33,0.034
,,,,,317.458,C3_43,0.052
,,,,,317.45888,C3_31,0.031
,,,,,317.45984,C3_42,0.031
,,,,,317.46616,C3_31,0.029
,,,,,317.48296,C5_34,0.015
,,,,,317.68432,C5_13,0.026
,,,,,317.69184,C3_43,0.013
,,,,,317.75704,C3_33,0.065
,,,,,317.75728,C3_43,0.057
,,,,,317.75752,C3_32,0.039
,,,,,317.75752,C5_14,0.016
,,,,,317.94808,C5_23,0.029
,,,,,317.94936,C3_44,0.062
,,,,,318.06208,C5_44,0.026
,,,,,318.0824,C5_44,0.022
,,,,,318.10272,C5_44,0.019
,,,,,318.37392,C5_44,0.017
,,,,,318.41208,C5_44,0.024
,,,,,318.44984,C5_44,0.018
,,,,,318.48616,C5_44,0.019
,,,,,318.5268,C1_34,0.019
,,,,,318.54096,C5_44,0.026
,,,,,318.62848,C5_44,0.021
,,,,,318.63232,C2_22,0.067
,,,,,318.8996,C5_44,0.025
,,,,,318.95504,C1_34,0.017
,,,,,319.05184,C2_32,0.015
,,,,,319.06576,C5_44,0.021
,,,,,319.11432,C5_44,0.021
,,,,,319.26584,C1_34,0.016
,,,,,319.68056,C2_32,0.016
,,,,,319.79528,C5_44,0.027
,,,,,319.85488,C2_32,0.017
,,,,,319.94456,C5_44,0.02
,,,,,320.0516,C4_11,0.023
,,,,,320.36488,C5_44,0.019
,,,,,320.62024,C6_31,0.015
,,,,,320.72104,C3_42,0.02
,,,,,320.74008,C3_43,0.04
,,,,,320.74144,C3_44,0.077
,,,,,320.74688,C3_32,0.032
,,,,,320.7476,C3_42,0.053
,,,,,320.74816,C3_33,0.017
,,,,,320.74896,C3_44,0.023
,,,,,320.7552,C3_33,0.022
,,,,,320.7676,C3_31,0.018
,,,,,320.77456,C3_33,0.014
,,,,,321.10456,C4_33,0.026
,,,,,321.10536,C4_44,0.035
,,,,,321.10664,C4_24,0.028
,,,,,321.19144,C4_33,0.024
,,,,,321.19496,C2_22,0.062
,,,,,321.19496,C2_41,0.019
,,,,,321.19624,C4_21,0.067
,,,,,321.20752,C4_44,0.034
,,,,,321.21648,C4_13,0.017
,,,,,321.22016,C4_11,0.2
,,,,,321.22256,C4_23,0.025
,,,,,321.2256,C4_14,0.015
,,,,,321.22616,C4_13,0.013
,,,,,321.22656,C4_22,0.06
,,,,,321.22808,C4_12,0.033
,,,,,321.22968,C4_41,0.011
,,,,,321.26256,C4_44,0.04
,,,,,321.30024,C4_34,0.033
,,,,,321.3304,C4_24,0.021
,,,,,321.40984,C1_12,0.016
,,,,,321.47616,C4_31,0.023
,,,,,321.51192,C2_31,0.039
,,,,,321.72208,C6_33,0.021
,,,,,322.36144,C4_43,0.036
,,,,,322.46616,C2_31,0.046
,,,,,322.64888,C3_42,0.023
,,,,,322.72328,C5_13,0.035
,,,,,322.82472,C5_14,0.014
,,,,,322.84216,C5_32,0.029
,,,,,322.92648,C6_34,0.026
,,,,,322.94968,C5_23,0.032
,,,,,322.9728,C2_31,0.041
,,,,,323.32336,C5_23,0.017
,,,,,323.37632,C5_32,0.025
,,,,,323.42336,C5_13,0.025
,,,,,323.45136,C5_23,0.033
,,,,,323.52232,C5_23,0.018
,,,,,323.57256,C2_31,0.044
,,,,,323.57568,C2_31,0.014
,,,,,323.7208,C5_13,0.017
,,,,,323.77728,C5_23,0.019
,,,,,323.85128,C6_11,0.028
,,,,,324.00728,C2_31,0.036
,,,,,324.01656,C6_11,0.026
,,,,,324.24416,C5_34,0.014
,,,,,324.47752,C5_34,0.015
,,,,,324.50768,C6_11,0.027
,,,,,324.53672,C3_33,0.018
,,,,,324.55272,C3_32,0.016
,,,,,324.56144,C3_32,0.024
,,,,,324.56744,C3_32,0.011
,,,,,324.56944,C3_31,0.027
,,,,,324.56968,C3_42,0.017
,,,,,324.57032,C3_33,0.012
,,,,,324.58016,C3_32,0.016
,,,,,324.58504,C3_32,0.015
,,,,,324.5884,C3_32,0.02
