Investigator,ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,6.53104,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,6.6196,C1_33,0.022,,,,,,,,,,,,,,,,,,,,
,,6.68424,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,6.82864,C2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,6.94984,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,7.03352,C1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,7.19128,A2_33,0.022,,,,,,,,,,,,,,,,,,,,
,,7.25712,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,7.2976,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,7.43248,A5_12,0.016,,,,,,,,,,,,,,,,,,,,
,,7.51368,C3_43,0.012,,,,,,,,,,,,,,,,,,,,
,,7.52552,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,7.68648,A6_21,0.017,,,,,,,,,,,,,,,,,,,,
,,7.69056,A1_31,0.016,,,,,,,,,,,,,,,,,,,,
,,7.73256,C2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,7.78536,B1_22,0.012,,,,,,,,,,,,,,,,,,,,
,,7.8004,C1_33,0.03,,,,,,,,,,,,,,,,,,,,
,,7.81448,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,7.90768,C1_33,0.02,,,,,,,,,,,,,,,,,,,,
,,7.93992,A6_31,0.018,,,,,,,,,,,,,,,,,,,,
,,8.00496,C1_33,0.025,,,,,,,,,,,,,,,,,,,,
,,8.02552,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,8.07536,C1_24,0.018,,,,,,,,,,,,,,,,,,,,
,,8.09488,A5_12,0.021,,,,,,,,,,,,,,,,,,,,
,,8.09632,C2_33,0.013,,,,,,,,,,,,,,,,,,,,
,,8.15328,A1_31,0.026,,,,,,,,,,,,,,,,,,,,
,,8.2168,A5_12,0.021,,,,,,,,,,,,,,,,,,,,
,,8.25352,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,8.32864,B6_11,0.014,,,,,,,,,,,,,,,,,,,,
,,8.38128,C1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,8.48056,A1_31,0.021,,,,,,,,,,,,,,,,,,,,
,,8.51008,B1_22,0.013,,,,,,,,,,,,,,,,,,,,
,,8.62928,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,8.6752,B1_22,0.011,,,,,,,,,,,,,,,,,,,,
,,8.83712,A1_31,0.017,,,,,,,,,,,,,,,,,,,,
,,8.96008,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,9.01088,A5_12,0.016,,,,,,,,,,,,,,,,,,,,
,,9.216,C1_24,0.018,,,,,,,,,,,,,,,,,,,,
,,9.22456,A2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,9.23096,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,9.29488,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,9.43384,A1_31,0.022,,,,,,,,,,,,,,,,,,,,
,,9.674,B4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,9.72216,B6_23,0.025,,,,,,,,,,,,,,,,,,,,
,,9.72936,B4_23,0.013,,,,,,,,,,,,,,,,,,,,
,,9.74392,A1_31,0.022,,,,,,,,,,,,,,,,,,,,
,,9.78808,C2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,9.868,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,9.9564,A1_31,0.021,,,,,,,,,,,,,,,,,,,,
,,9.964,C1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,10.06304,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,10.1716,B6_23,0.022,,,,,,,,,,,,,,,,,,,,
,,10.2824,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,10.31816,C1_33,0.029,,,,,,,,,,,,,,,,,,,,
,,10.32088,B2_32,0.02,,,,,,,,,,,,,,,,,,,,
,,10.34488,C1_24,0.02,,,,,,,,,,,,,,,,,,,,
,,10.39984,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,10.42456,C1_33,0.029,,,,,,,,,,,,,,,,,,,,
,,10.52024,C2_33,0.013,,,,,,,,,,,,,,,,,,,,
,,10.53048,C2_31,0.018,,,,,,,,,,,,,,,,,,,,
,,10.63736,A1_31,0.024,,,,,,,,,,,,,,,,,,,,
,,10.64216,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,10.766,A5_14,0.026,,,,,,,,,,,,,,,,,,,,
,,10.76808,A5_44,0.02,,,,,,,,,,,,,,,,,,,,
,,10.76808,A5_34,0.038,,,,,,,,,,,,,,,,,,,,
,,10.76848,A5_24,0.026,,,,,,,,,,,,,,,,,,,,
,,10.79992,B6_14,0.016,,,,,,,,,,,,,,,,,,,,
,,10.84192,C1_33,0.02,,,,,,,,,,,,,,,,,,,,
,,10.86056,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,11.00384,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,11.13368,C1_24,0.021,,,,,,,,,,,,,,,,,,,,
,,11.19976,C2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,11.29808,A6_44,0.018,,,,,,,,,,,,,,,,,,,,
,,11.4512,A1_31,0.021,,,,,,,,,,,,,,,,,,,,
,,11.47624,B6_23,0.017,,,,,,,,,,,,,,,,,,,,
,,11.47744,A5_12,0.02,,,,,,,,,,,,,,,,,,,,
,,11.57824,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,11.60064,A5_12,0.017,,,,,,,,,,,,,,,,,,,,
,,11.6948,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,11.69896,B6_23,0.024,,,,,,,,,,,,,,,,,,,,
,,11.89032,C2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,11.91128,A1_31,0.023,,,,,,,,,,,,,,,,,,,,
,,12.11536,A5_12,0.024,,,,,,,,,,,,,,,,,,,,
,,12.18728,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,12.2232,A5_12,0.02,,,,,,,,,,,,,,,,,,,,
,,12.26184,A1_24,0.018,,,,,,,,,,,,,,,,,,,,
,,12.2624,A1_33,0.014,,,,,,,,,,,,,,,,,,,,
,,12.29392,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,12.4012,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,12.558,B6_23,0.023,,,,,,,,,,,,,,,,,,,,
,,12.56344,B1_32,0.013,,,,,,,,,,,,,,,,,,,,
,,12.56384,B1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,12.65528,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,12.70512,B1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,12.86008,B1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,12.86368,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,12.8788,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,12.88152,C1_33,0.015,,,,,,,,,,,,,,,,,,,,
,,12.88512,B1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,13.0732,A1_31,0.021,,,,,,,,,,,,,,,,,,,,
,,13.0844,A5_14,0.026,,,,,,,,,,,,,,,,,,,,
,,13.08672,A5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,13.1064,C2_33,0.02,,,,,,,,,,,,,,,,,,,,
,,13.11928,C2_31,0.016,,,,,,,,,,,,,,,,,,,,
,,13.14016,B1_32,0.018,,,,,,,,,,,,,,,,,,,,
